village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Basen,0,0,100,0,94,6,14,81,5,100,0,0,0,100,3,0,97,11,,100,0,88,12,100,0,95,5,100,0
Bhiti,0,0,100,0,93,7,5,92,3,100,0,0,5,95,0,0,100,11,,100,0,87,12,100,0,97,3,100,0
Ranepur,0,0,100,0,90,10,1,97,2,98,2,0,4,96,0,0,99,3,,100,0,100,0,100,0,95,5,100,0
Sarigawan,0,0,100,0,76,24,2,92,6,98,2,0,8,92,0,0,100,2,,100,0,99,1,100,0,98,2,100,0
Dorva Jamauli,0,0,100,0,100,0,4,92,4,99,1,0,14,86,0,0,100,3,,100,0,99,1,100,0,90,10,100,0
Nevada Tarapat,1,0,99,0,99,1,1,92,7,100,0,0,12,88,0,0,100,4,,100,0,100,0,100,0,82,18,100,0
Gorara,0,0,100,1,95,4,5,91,4,93,7,0,18,82,0,0,100,6,,99,1,98,2,99,0,89,11,100,0
Musta,0,0,100,0,89,11,2,92,6,98,2,0,7,93,0,0,100,0,,100,0,98,2,99,0,90,10,100,0
Sailha,1,0,99,0,93,7,0,94,6,95,5,0,9,91,0,0,100,1,,100,0,99,1,100,0,84,16,100,0
Uttari,0,0,100,0,88,12,0,96,4,97,3,0,5,95,0,0,99,0,,100,0,76,24,100,0,88,12,100,0
