village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Murasa,0,0,100,2,92,6,0,99,1,100,0,0,0,100,1,0,99,0,,98,2,100,0,100,0,100,0,100,0
Mandariya,1,0,99,14,63,23,1,99,0,93,7,0,0,100,2,0,98,1,,100,0,97,3,100,0,86,14,100,0
Rasoolpur,0,0,100,0,100,0,0,100,0,99,1,1,0,99,0,0,100,0,,93,7,99,1,100,0,100,0,93,7
Jalalpur,0,0,100,9,61,30,0,98,2,89,11,0,5,95,0,0,100,0,,99,1,99,1,100,0,93,7,99,1
Odara,0,1,99,1,97,2,0,97,3,95,5,0,0,100,0,0,100,0,,99,1,93,7,100,0,92,8,99,1
Nimchaini,2,0,98,3,87,10,0,97,3,92,8,1,0,99,1,0,99,0,,88,12,97,3,90,10,97,3,100,0
Saraiyan,0,0,100,0,95,5,0,100,0,100,0,0,0,100,0,0,100,0,,100,0,100,0,100,0,100,0,100,0
Bajarkha,0,0,100,0,80,20,0,100,0,100,0,0,0,100,0,0,100,0,,100,0,99,1,100,0,100,0,99,1
Muraitajpur,2,0,98,1,90,9,2,94,4,100,0,2,0,98,0,0,100,0,,89,11,98,2,92,8,100,0,89,11
Lalhauwa,0,0,100,1,97,2,0,100,0,99,1,0,0,100,0,0,100,0,,100,0,99,1,100,0,100,0,100,0
