village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Harmandir Kala,0,0,100,2,59,39,1,81,18,87,13,10,54,36,0,0,100,96,4,94,6,100,0,83,17,98,2
Belva Buzurg,0,0,100,0,54,46,0,84,16,92,8,7,44,49,0,1,99,100,0,95,5,100,0,92,8,100,0
Kataikot Urf Bhadrahana,2,0,98,0,46,54,1,96,3,95,5,5,55,40,0,0,100,99,1,93,7,100,0,91,9,100,0
Murali,0,0,100,3,58,38,1,81,18,95,5,3,57,40,0,0,100,94,6,95,5,100,0,87,13,100,0
Karailiya,0,0,100,0,51,49,0,82,18,92,8,7,49,44,0,0,100,99,1,95,5,100,0,88,12,100,0
Parsoni,1,1,98,1,50,49,1,87,12,94,6,5,53,42,0,0,100,98,2,96,4,100,0,85,15,100,0
Ram Nagar,0,0,100,0,50,50,0,83,17,92,8,8,49,43,0,0,100,98,2,96,4,100,0,86,14,100,0
Navadih Urf Deopur,0,0,100,0,48,52,2,94,4,97,3,7,48,45,0,0,100,99,1,95,5,100,0,87,13,100,0
Phulvariya,3,0,97,0,50,50,2,89,9,94,6,3,59,38,0,0,100,99,0,94,6,99,1,90,10,100,0
Sonval,0,0,100,0,48,52,1,88,11,92,8,6,53,41,0,0,100,99,1,95,5,100,0,90,10,100,0
