village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kalhaur Panchha,0,0,100,13,76,11,71,26,3,96,4,0,38,62,0,0,100,59,41,80,20,93,7,88,12,89,11
Bighrayi,0,0,100,42,54,4,52,47,1,89,11,0,52,48,0,0,100,66,34,80,20,88,11,1,99,90,10
Bidhuna,0,0,100,17,73,10,49,48,3,88,12,1,28,71,19,0,78,59,41,80,20,93,7,1,99,88,12
Padriya,0,0,100,18,73,9,32,67,1,85,15,0,36,64,8,0,92,60,40,80,20,87,13,3,97,91,9
Nagla Sauj,0,0,100,22,68,10,39,60,1,79,21,0,4,96,1,0,99,67,33,81,19,91,9,0,100,88,12
Dhaurasi,2,0,98,16,77,7,47,36,16,75,25,2,11,87,7,0,93,68,32,82,18,86,13,4,96,91,9
Badshahpur,0,0,100,56,31,13,49,34,17,68,32,4,2,94,3,0,97,68,32,77,23,91,6,5,95,88,12
Kanegi,0,0,100,51,32,17,42,48,10,86,14,2,11,87,5,0,94,64,36,76,24,91,9,6,94,93,7
Kothiya,0,0,100,58,34,8,41,48,11,84,16,1,4,95,3,0,97,71,29,76,24,88,12,6,94,91,9
Bikarampur,0,1,99,57,31,12,42,45,13,84,16,0,6,94,1,0,99,61,39,80,20,92,8,4,96,91,9
