village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dhanawal,0,0,100,0,65,35,9,91,0,97,3,0,56,44,0,0,100,98,2,73,27,100,0,35,65,100,0
Khantara,0,0,100,0,66,34,40,60,0,98,2,0,3,97,0,0,100,94,6,65,35,100,0,1,99,97,3
Lalapur,0,0,100,0,62,38,18,82,0,97,3,0,29,71,0,0,100,95,5,61,39,100,0,27,73,100,0
Sirsi,0,0,100,3,55,42,16,84,0,95,5,0,22,78,0,0,100,89,11,49,51,100,0,11,89,99,1
Shobhi,0,0,100,3,59,38,27,73,0,98,2,0,38,62,0,0,100,82,18,39,61,100,0,8,92,100,0
Kusamha,0,0,100,1,60,39,23,77,0,95,5,0,50,50,0,0,100,68,32,64,36,100,0,26,74,100,0
Bedauli,0,0,100,4,57,39,21,79,0,94,6,0,48,52,0,0,100,98,2,79,21,100,0,45,55,100,0
Belahara,0,0,100,3,59,38,22,78,0,94,6,0,40,60,0,0,100,96,4,83,17,100,0,8,92,100,0
Newarhia,0,0,100,2,56,42,20,80,0,96,4,0,19,81,0,0,100,83,17,47,53,100,0,17,83,100,0
Devari Kalan,0,0,100,1,62,37,24,76,0,97,3,0,36,64,0,0,100,59,41,56,44,100,0,28,72,100,0
