village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Budhakhera,0,0,100,36,63,1,1,42,57,98,2,0,37,63,0,0,100,0,,12,88,42,58,80,20,73,27,83,17
Chhmau,3,0,97,36,64,0,0,46,54,100,0,0,24,76,0,0,90,1,,73,27,61,39,99,1,86,14,99,1
Badh,0,0,100,44,56,0,0,56,44,100,0,0,23,77,0,0,99,0,,44,56,58,42,90,10,77,22,95,5
Ali Pura,0,0,100,42,58,0,0,52,48,99,1,0,21,79,0,0,95,0,,77,23,63,37,100,0,79,21,100,0
Balwakheri,1,0,99,42,58,0,0,43,57,100,0,0,16,84,1,0,97,0,,47,53,57,43,85,12,82,18,89,11
Tanda,0,0,100,45,55,0,1,41,58,99,1,0,50,50,0,0,100,0,,12,88,49,51,86,9,70,30,91,9
Kayampur,0,0,100,47,53,0,0,45,55,100,0,0,29,71,0,1,98,0,,48,52,52,48,87,13,74,26,86,14
Kasoli,0,0,100,40,60,0,1,49,50,100,0,0,35,65,0,0,100,0,,60,40,46,54,100,0,78,22,97,3
Kanahheri,1,0,99,51,49,0,1,42,57,99,1,0,36,64,0,0,100,0,,19,81,45,55,89,11,74,26,96,4
Dhudhli,1,0,99,47,53,0,0,49,51,99,1,0,30,70,0,0,100,1,,7,93,49,51,86,13,78,22,94,6
