village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kasba Latifpur,0,0,100,28,55,17,0,100,0,96,4,0,0,100,0,0,100,0,,96,4,98,2,100,0,100,0,100,0
Pure Fattesingh,1,0,99,30,57,13,0,99,1,93,7,0,0,100,0,0,100,0,,89,11,100,0,100,0,90,10,100,0
Kedaura,0,0,100,27,60,13,0,100,0,100,0,0,0,100,0,0,100,0,,95,5,100,0,100,0,99,0,100,0
Birsinghpur,0,0,100,24,59,17,0,97,3,92,8,0,0,100,0,0,100,0,,98,2,99,1,100,0,99,1,100,0
Kanhaiya Dullapur,0,0,100,28,58,14,1,93,6,91,9,0,2,98,0,0,100,0,,88,12,100,0,100,0,99,1,98,2
Kalyanpur,0,0,100,37,45,18,0,97,3,90,10,0,0,100,0,0,100,0,,88,12,99,1,100,0,84,16,100,0
Ratanpur Maheshpur,0,0,100,25,63,12,1,99,0,96,4,0,0,100,0,0,100,0,,100,0,100,0,100,0,100,0,100,0
Rampur Bhatani,0,0,100,26,56,18,0,100,0,100,0,0,0,100,0,0,100,0,,89,11,99,1,100,0,100,0,100,0
Umarpur,0,0,100,25,60,15,0,100,0,92,8,0,0,100,0,0,100,0,,95,5,100,0,100,0,98,2,100,0
Pure Sewkram,0,0,100,32,54,14,0,100,0,89,11,0,0,100,0,0,100,0,,90,10,100,0,100,0,99,0,100,0
