village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chimma Bans,0,0,100,0,84,16,0,34,66,85,15,0,1,99,0,0,100,0,,96,4,56,44,99,1,79,21,98,2
Khidka Junardar,0,0,100,0,86,14,1,44,55,83,17,2,0,98,1,1,98,6,,88,12,27,73,99,1,85,15,100,0
Babail Buzurg,1,0,99,0,93,7,0,47,53,68,32,1,1,98,0,0,100,4,,75,25,42,58,99,1,79,21,99,1
Behada Kalan,0,0,100,0,90,10,1,52,47,70,30,3,2,95,0,0,100,4,,72,28,55,45,100,0,80,20,100,0
Nagla Babailkhurd,0,0,100,0,93,7,0,51,49,68,32,3,1,96,0,0,100,8,,65,35,48,52,100,0,85,15,99,1
Pathauri,0,0,100,0,92,8,0,50,50,69,31,3,0,97,0,0,100,5,,85,15,45,55,100,0,48,52,100,0
Tivra Junardar,0,0,100,0,93,7,1,37,62,72,28,0,0,100,0,0,100,3,,93,7,82,18,100,0,75,25,98,2
Behada Khurd,1,0,99,0,97,3,0,44,56,79,21,1,0,99,0,0,100,4,,97,3,85,15,100,0,68,32,100,0
Ramkhedi,0,0,100,1,92,7,0,50,50,85,15,0,0,100,0,0,100,4,,98,2,80,20,100,0,54,46,99,1
Bedhadhi Ghoghu Must.,0,0,100,0,95,5,1,51,48,76,24,0,0,100,0,0,99,7,,98,2,77,23,100,0,72,28,100,0
