village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Khaspur,0,0,100,1,91,8,0,88,12,95,5,1,6,93,0,0,100,0,,86,14,57,43,90,7,90,10,76,24
Matabli Patti Jaggu,0,0,100,2,93,5,0,86,14,97,3,0,9,91,0,0,100,0,,50,50,53,47,89,7,86,14,77,23
Nehroli,0,0,100,0,94,6,0,84,16,98,2,0,9,91,0,0,100,0,,52,48,56,44,88,7,90,10,98,2
Shahbazpur Kalan,0,0,100,1,87,12,0,89,11,99,0,0,9,91,0,0,100,1,,41,58,50,49,90,4,92,7,93,6
Shahpur Sirpura,0,0,100,1,95,4,0,89,11,97,3,1,7,92,0,0,100,0,,54,46,53,47,84,7,87,13,76,24
Bhura Begampur,1,0,99,1,93,6,0,86,14,97,3,2,11,87,0,0,100,0,,41,59,48,52,99,0,85,15,97,3
Tanda,0,0,100,0,94,6,0,74,26,91,9,0,4,96,0,0,100,0,,42,58,49,51,87,5,86,14,93,7
Har Singhpur,0,0,100,1,93,6,0,95,5,100,0,1,16,83,0,0,100,0,,30,70,30,70,85,10,80,20,54,46
Dehri Jaggu,0,0,100,0,98,2,1,81,18,98,2,1,10,89,0,0,100,0,,41,59,48,52,93,6,85,14,93,7
Talwar,0,0,100,0,94,6,1,78,21,96,4,3,10,87,0,0,100,0,,32,68,49,51,87,6,85,15,43,57
