village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Belgawan,1,0,99,2,95,3,3,96,1,100,0,0,4,96,0,0,100,99,1,58,42,100,0,100,0,100,0
Salempur,0,0,100,2,57,41,0,100,0,99,1,0,2,98,0,0,100,100,0,59,41,100,0,100,0,100,0
Damodarpur,0,0,100,1,60,39,0,100,0,100,0,0,1,99,0,0,100,100,0,50,50,100,0,100,0,99,1
Keshavpur,0,0,100,1,56,43,0,99,1,100,0,0,1,99,0,0,100,100,0,60,40,99,1,100,0,100,0
Kamolia,0,0,100,2,92,6,0,99,1,100,0,0,2,98,0,0,100,96,4,63,37,99,1,99,1,99,1
Bhelawan Khurd,0,0,100,0,53,47,0,99,1,100,0,0,2,98,0,0,100,100,0,64,36,99,1,100,0,99,1
Arthilia Girant,0,1,99,0,98,2,0,100,0,100,0,0,3,97,0,0,100,100,0,54,46,100,0,100,0,100,0
Khagasiya Mau,0,0,100,0,99,1,1,99,0,100,0,0,4,96,0,0,100,100,0,58,42,100,0,100,0,100,0
Chandan Para,0,0,100,0,47,53,0,100,0,100,0,0,2,98,10,0,90,100,0,60,40,100,0,100,0,100,0
Neri Kalan,0,0,100,0,55,45,1,99,0,100,0,0,2,98,10,0,90,100,0,51,49,100,0,100,0,100,0
