village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bajpaikhera,0,0,100,4,96,0,63,37,0,100,0,0,12,88,0,0,100,1,,99,1,99,1,100,0,100,0,100,0
Dokrai,0,0,100,4,96,0,63,37,0,100,0,0,11,89,0,0,100,1,,91,9,100,0,100,0,99,1,100,0
Japsara,0,0,100,5,95,0,68,32,0,100,0,0,8,92,0,0,100,3,,94,6,100,0,100,0,100,0,100,0
Paharpur,0,0,100,2,96,2,44,56,0,100,0,0,12,88,0,0,100,0,,99,1,100,0,100,0,99,1,100,0
Chhanchirai Khera,0,0,100,3,95,2,93,7,0,100,0,0,15,85,0,0,100,0,,82,18,100,0,100,0,100,0,100,0
Kakrari,0,0,100,0,100,0,53,47,0,100,0,0,11,89,0,0,100,0,,100,0,100,0,100,0,100,0,100,0
Jungal Bujurg,0,0,100,0,100,0,57,43,0,100,0,0,8,92,0,0,100,0,,100,0,100,0,100,0,100,0,100,0
Gadariyakhera,0,0,100,1,99,0,42,58,0,100,0,0,22,78,0,0,100,0,,100,0,100,0,100,0,100,0,100,0
Dubai,0,0,100,1,99,0,45,55,0,100,0,0,8,92,0,0,100,0,,100,0,100,0,100,0,100,0,100,0
Nari Khera,0,0,100,6,94,0,63,37,0,100,0,0,11,89,0,0,100,1,,95,5,100,0,100,0,100,0,100,0
