village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Nainoli,0,7,48,36,9,15,25,7,23,49,11,41,12,7,0,0,60,0,,58,2,51,9,60,0,41,14,45,15
Chagethi,0,3,32,35,0,0,21,3,11,20,15,28,0,7,0,0,35,0,,33,2,30,5,34,1,31,4,17,18
Belak,0,3,57,26,14,20,23,5,32,45,15,31,14,15,0,0,60,0,,56,4,57,2,58,2,48,12,52,8
Melkande,0,1,29,28,0,2,13,7,10,12,18,23,2,5,0,0,30,0,,29,1,24,6,27,3,28,2,17,13
Chausala,0,3,52,25,24,6,46,5,4,40,15,39,4,12,0,0,55,0,,54,1,55,0,54,1,50,5,38,17
Chauna Bhanar,0,0,23,22,1,0,17,2,4,14,9,18,2,3,0,0,23,1,,23,0,22,1,21,2,23,0,15,8
Dhaspar,1,1,31,27,0,6,22,5,6,15,18,18,6,9,0,0,33,1,,27,6,25,8,33,0,29,4,17,16
Pali,0,18,34,1,2,49,0,6,46,36,16,21,22,9,0,2,50,0,,52,0,45,6,52,0,8,44,33,18
Archali,0,1,28,21,5,3,21,1,7,22,7,22,5,2,0,0,29,0,,28,1,23,6,27,2,25,4,16,13
Gurura,0,4,36,22,18,0,28,1,11,28,12,23,4,13,1,0,39,0,,40,0,39,1,39,1,34,6,33,7
Gairar Talla,0,3,51,27,19,8,40,2,12,43,11,32,14,8,0,1,53,0,,51,3,52,2,52,2,51,3,38,16
Selakot,0,2,36,31,1,6,24,5,9,21,17,18,5,15,0,1,37,0,,33,5,36,2,32,6,35,3,25,13
Maniagar,0,4,50,32,15,7,38,10,6,44,10,42,7,5,1,0,53,1,,54,0,53,1,54,0,51,3,42,11
Beena,0,2,43,34,7,4,29,2,14,26,19,36,5,4,0,0,45,0,,44,1,41,2,43,2,41,4,26,19
Bamanswal,0,1,22,20,1,2,16,5,2,13,10,22,1,0,0,0,23,0,,23,0,20,3,23,0,21,2,14,9
Basoli,0,2,32,27,7,0,17,9,8,18,16,28,3,3,0,0,34,0,,34,0,30,4,33,1,32,2,21,13
Chamtola,0,0,33,32,0,1,15,10,8,19,14,32,1,0,0,0,33,0,,33,0,30,3,32,1,33,0,22,11
Nayal Dhura,0,2,32,28,2,4,14,10,10,14,20,22,4,8,0,1,33,0,,33,1,24,10,29,5,29,5,26,8
Dhyari,0,0,34,33,0,1,10,7,17,21,13,30,4,0,0,0,34,0,,34,0,30,4,33,1,34,0,23,11
Papoli,1,2,31,31,2,1,21,4,9,15,19,20,5,9,0,0,34,2,,34,0,27,7,32,2,30,4,18,16
