village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Neeladi,0,0,46,34,11,1,8,38,0,41,5,29,16,0,0,0,35,46,0,44,2,46,0,44,2,46,0
Angoth,0,0,19,13,6,0,0,19,0,18,1,7,11,1,0,0,18,18,1,17,2,19,0,19,0,18,1
Saned,0,0,55,43,12,0,16,38,1,54,1,39,16,0,0,0,53,55,0,53,2,53,2,53,2,55,0
Bhela,0,0,29,24,4,0,2,26,0,28,0,14,13,1,0,0,28,29,0,28,1,28,1,28,1,28,1
Jyuda,0,0,53,41,11,1,16,37,0,52,1,29,23,1,0,0,53,53,0,50,3,51,2,52,1,53,0
Basina,0,0,18,12,6,0,0,18,0,17,1,8,9,0,0,0,16,18,0,18,0,18,0,18,0,18,0
Bhagoti,0,0,50,42,7,1,10,40,0,50,0,29,21,0,0,0,50,49,1,48,2,50,0,50,0,50,0
Silodi,0,0,19,15,3,1,5,14,0,19,0,8,11,0,0,0,19,19,0,17,2,19,0,19,0,19,0
Ratani,0,0,15,12,2,1,4,11,0,15,0,6,9,0,0,0,15,15,0,15,0,15,0,14,1,15,0
Kevar Talla,0,0,40,33,5,2,13,27,0,40,0,24,16,0,0,0,40,40,0,39,1,40,0,40,0,40,0
Manoda,0,0,24,20,4,0,8,16,0,24,0,16,8,0,0,0,24,24,0,23,1,24,0,24,0,24,0
Ida,0,0,45,37,14,0,19,32,0,51,0,24,27,0,0,0,51,51,0,47,4,51,0,50,1,50,1
Gandik Talla,0,0,20,14,5,1,4,16,0,19,1,14,6,0,0,0,20,20,0,20,0,20,0,20,0,20,0
Panti,0,0,23,12,10,1,9,14,0,22,1,16,7,0,0,0,23,23,0,21,2,23,0,23,0,23,0
Kansola,0,0,28,20,7,1,5,23,0,28,0,17,11,0,0,0,28,26,2,26,2,27,1,26,2,28,0
Hans Koti,0,0,76,54,21,1,17,58,1,75,1,45,30,1,0,0,76,73,3,74,2,75,1,72,4,76,0
Kaub,0,0,105,82,24,0,20,85,1,105,1,64,41,1,0,0,106,106,0,101,5,102,4,105,1,106,0
Chhenkuda,0,0,87,55,31,1,11,75,1,87,0,42,43,2,0,0,86,84,3,81,6,86,1,82,5,86,1
Kothara,0,16,24,11,3,26,0,16,24,37,3,9,13,18,0,0,40,38,2,37,3,34,2,16,24,30,10
Bamiyala,0,10,33,18,11,14,2,4,37,39,4,4,9,30,0,0,43,41,2,40,2,43,0,11,32,31,12
Harmani Malli,0,20,36,0,3,53,0,7,49,50,6,27,14,15,0,0,56,52,4,49,7,49,0,9,47,43,13
Harmani Talli,0,13,38,0,0,51,0,10,41,50,1,14,22,15,0,0,51,47,4,48,2,48,0,8,43,27,24
Chidanga Talla,0,1,4,0,0,5,0,1,4,5,0,1,4,0,0,0,5,5,0,3,2,4,0,1,4,5,0
Bainoli Talli,0,23,37,22,8,30,2,17,41,47,13,15,15,30,0,0,60,59,1,55,5,59,1,28,32,48,11
