village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bagwala,0,5,109,71,39,0,1,78,32,102,11,0,28,71,0,0,86,110,4,112,2,114,0,95,18,114,0
Danpur,0,2,144,81,64,1,1,63,82,133,13,5,48,93,0,5,141,145,1,113,33,142,4,112,34,143,3
Anandpur,0,8,157,90,60,15,0,105,60,148,17,1,47,117,0,0,165,161,4,129,36,165,0,148,17,161,4
Ajitpur,0,0,216,130,64,23,45,125,47,195,22,0,56,161,0,0,217,210,7,166,51,216,1,182,35,213,4
Bindu Khera,0,2,282,182,89,15,17,186,83,260,26,0,76,210,0,1,285,278,8,219,67,286,0,249,37,280,6
Sutuiya,0,4,80,26,50,8,4,61,19,74,10,0,20,64,0,0,84,83,1,77,7,82,2,77,7,84,0
Chachar,0,0,25,3,20,3,7,19,0,25,1,0,7,19,0,1,25,26,0,23,3,26,0,23,3,26,0
Kishanpur,1,5,112,49,67,2,3,49,66,116,2,0,30,88,0,0,118,117,1,110,8,118,0,97,21,117,1
Sripur,0,0,43,15,25,3,3,24,16,39,4,0,12,31,0,0,43,43,0,38,5,43,0,36,7,41,2
Indarpur,0,0,117,23,84,10,12,83,23,104,14,0,22,96,0,0,118,115,3,100,18,118,0,94,24,114,4
Kolaria,0,4,53,21,32,4,14,40,3,55,2,0,20,37,0,0,57,57,0,54,3,57,0,45,12,57,0
Rameswarpur,0,0,15,0,7,8,7,8,0,15,0,0,4,11,0,0,15,14,1,12,3,15,0,8,7,15,0
Kuraiya,0,5,238,22,162,62,67,164,15,225,21,0,72,174,0,0,246,244,2,207,39,246,0,186,60,242,4
Deoria,0,11,109,44,72,4,5,86,29,118,2,0,32,88,0,0,120,120,0,110,10,120,0,104,16,120,0
Saijana,0,0,123,44,66,13,10,73,40,113,10,0,37,86,0,0,123,123,0,111,12,122,1,99,24,123,0
Lalpur,0,0,43,21,31,4,13,39,4,55,1,0,20,36,0,0,56,55,1,53,3,56,0,45,11,56,0
Kolara,0,2,48,4,34,12,22,27,1,46,4,0,14,36,0,0,50,47,3,43,7,50,0,36,14,50,0
Rudrapur,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0
