village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Andulgari,0,13,2,3,10,2,0,15,0,15,0,0,13,2,0,0,15,3,,15,0,14,1,15,0,0,15,15,0
Bhatipota,0,10,0,0,9,1,0,9,1,10,0,0,10,0,0,0,10,0,,10,0,10,0,10,0,0,10,10,0
Gangapur,0,15,0,0,15,0,0,14,1,12,3,0,15,0,0,0,15,0,,15,0,13,2,15,0,0,15,15,0
Narayanpur,0,16,0,6,10,0,3,13,0,16,0,0,16,0,0,0,16,0,,16,0,8,8,16,0,0,16,16,0
Saihati,0,13,0,3,9,1,1,6,6,4,9,3,10,0,0,0,13,0,,13,0,2,11,13,0,0,13,13,0
Saitgachhi,0,19,1,5,14,1,0,17,3,7,13,5,14,1,0,0,20,0,,20,0,18,2,20,0,0,20,20,0
Amreswar,0,23,0,13,8,2,0,22,1,19,4,3,20,0,0,0,23,0,,23,0,17,6,23,0,3,20,23,0
Rani Gachhi,0,15,0,4,11,0,0,7,8,1,14,4,11,0,0,0,15,0,,15,0,5,10,15,0,0,15,15,0
Bagbari,0,14,2,2,12,2,4,11,1,13,3,0,14,2,0,0,16,0,,16,0,6,10,16,0,0,16,16,0
Maricha (CT),0,5,0,0,5,0,0,3,2,4,1,1,4,0,0,0,5,0,,5,0,3,2,5,0,0,5,5,0
Tardaha Kapasati,0,9,6,8,7,0,0,1,14,14,1,0,10,5,0,0,15,0,,15,0,13,2,15,0,0,15,11,4
Mousal,0,9,6,8,7,0,0,3,12,5,10,0,9,6,0,0,15,0,,15,0,13,2,15,0,0,15,13,2
Ushpara,0,9,8,7,8,2,0,6,11,5,12,0,9,8,0,0,17,0,,17,0,7,10,17,0,0,17,9,8
