village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Patra (P),0,13,0,13,0,0,5,8,0,7,6,13,0,0,0,0,13,13,0,0,13,13,0,10,3,13,0
Chandnagar,0,18,3,21,0,0,19,2,0,10,11,16,4,1,0,0,21,21,0,2,19,21,0,16,5,21,0
Mollapukur,0,13,5,18,0,0,13,5,0,14,4,10,7,1,0,0,18,18,0,0,18,18,0,15,3,18,0
Mirzapur,0,6,0,6,0,0,5,1,0,4,2,6,0,0,0,0,6,6,0,4,2,6,0,1,5,6,0
Paschim Durgapur,0,8,2,10,0,0,4,6,0,6,4,8,1,1,0,0,10,10,0,3,7,10,0,8,2,10,0
Bagda,0,44,9,51,2,0,43,10,0,14,39,35,16,2,0,0,53,52,1,18,35,53,0,24,29,53,0
Purba Bhabanipur,0,9,0,9,0,0,7,2,0,4,5,8,1,0,0,0,9,9,0,1,8,9,0,6,3,8,1
Agneshwar,0,15,0,15,0,0,2,13,0,7,8,13,2,0,0,0,15,15,0,0,15,15,0,13,2,15,0
Murigachhi,0,50,5,55,0,0,31,19,5,3,52,43,9,3,0,2,53,55,0,3,52,55,0,51,4,55,0
Rekha,0,21,2,23,0,0,9,12,2,11,12,21,1,1,0,0,23,22,1,3,20,23,0,16,7,23,0
Mathur,0,25,8,33,0,0,27,6,0,11,22,19,11,3,0,0,33,33,0,12,21,33,0,19,14,33,0
Goanara,0,4,0,4,0,0,4,0,0,4,0,3,1,0,0,0,4,4,0,4,0,4,0,4,0,4,0
Goragachha,0,23,1,24,0,0,24,0,0,24,0,17,6,1,0,1,23,24,0,24,0,24,0,23,1,24,0
Kholakhali,0,6,0,6,0,0,6,0,0,5,1,4,2,0,0,0,6,6,0,6,0,6,0,4,2,6,0
Andharia,0,18,0,18,0,0,18,0,0,16,2,17,1,0,0,0,18,18,0,17,1,18,0,9,9,18,0
Mankhanda,0,17,0,17,0,0,17,0,0,16,1,16,1,0,0,0,17,17,0,17,0,17,0,14,3,17,0
Asapur,0,43,1,44,0,0,25,17,2,26,18,38,6,0,0,2,42,44,0,15,29,44,0,25,19,44,0
