village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Raynagar (CT),0,12,28,0,33,7,38,2,0,40,0,0,12,28,0,1,39,40,0,32,8,40,0,12,28,40,0
Purba Gabberia,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Uttar Raghunathpur,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
Goalberia,0,6,3,1,5,3,9,0,0,8,1,0,7,2,0,8,1,9,0,5,4,9,0,8,1,9,0
Santipur,0,3,1,0,3,1,4,0,0,4,0,0,3,1,0,3,1,4,0,4,0,4,0,4,0,4,0
Neutala,0,11,1,0,8,4,11,1,0,12,0,0,11,1,0,12,0,12,0,10,2,12,0,10,2,12,0
Nandanpur,0,4,12,1,13,2,13,3,0,16,0,0,4,12,0,0,16,16,0,10,6,16,0,10,6,16,0
Harinarayanpur,0,10,28,0,26,12,38,0,0,38,0,0,10,28,0,2,36,38,0,25,13,38,0,19,19,38,0
Rajapur,0,9,8,5,2,10,15,2,0,16,1,4,5,8,0,6,11,17,0,10,7,17,0,13,4,17,0
Narayani Tala,0,47,161,1,30,177,164,44,0,123,85,0,49,159,0,115,92,208,0,59,149,208,0,104,104,208,0
Kalikapur Barasat (CT),0,0,2,0,0,2,2,0,0,1,1,0,0,2,0,1,1,2,0,0,2,2,0,1,1,2,0
Kamaria,0,110,13,111,12,0,106,17,0,123,0,28,82,13,0,0,123,123,0,123,0,123,0,108,15,123,0
Dewanganj,0,13,4,2,10,5,17,0,0,16,1,0,13,4,0,14,3,17,0,8,9,17,0,13,4,17,0
Khakurdaha,0,31,10,2,28,11,41,0,0,40,1,0,31,10,0,33,8,41,0,30,11,41,0,37,4,41,0
Rajpur Korabag,0,111,81,0,18,175,167,26,0,157,36,1,115,76,0,103,89,193,0,101,92,193,0,103,90,193,0
Panchghora,0,4,2,0,4,2,4,2,0,6,0,0,5,1,0,0,6,6,0,4,2,6,0,5,1,6,0
Kismat Goalberia,0,11,6,5,9,3,16,1,0,15,2,0,11,6,0,15,2,17,0,11,6,17,0,13,4,17,0
Mahismari,0,24,0,24,0,0,15,9,0,24,0,22,2,0,0,0,24,24,0,24,0,24,0,21,3,24,0
Chatra,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Gumuk Beria,0,24,0,24,0,0,20,4,0,24,0,23,1,0,0,0,24,24,0,24,0,24,0,23,1,24,0
Khatsara,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Abdul Karimpur,0,2,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,2,0,2,0,2,0,1,1,2,0
