village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Madhya Gurguria,0,27,7,6,13,15,34,0,0,33,1,1,25,8,0,0,34,34,0,27,7,34,0,26,8,34,0
Paschim Gabtala,0,13,32,0,2,43,45,0,0,43,2,0,15,30,0,0,45,45,0,20,25,45,0,17,28,45,0
Purba Tetulberia,0,8,19,0,1,26,27,0,0,27,0,0,8,19,0,0,26,27,0,2,25,27,0,9,18,27,0
Dongajora,0,11,21,0,0,32,32,0,0,32,0,0,11,21,0,0,32,32,0,2,30,32,0,5,27,32,0
Kisorimohanpur,0,8,0,0,1,7,7,1,0,8,0,0,8,0,0,1,7,8,0,8,0,8,0,6,2,8,0
Binodpur,0,24,4,9,14,5,28,0,0,25,3,0,24,4,0,1,27,28,0,27,1,28,0,5,23,28,0
Purba Gabtala,0,14,3,4,8,5,17,0,0,17,0,0,14,3,0,0,17,17,0,5,12,17,0,13,4,17,0
Jalabaria,0,28,28,1,5,50,56,0,0,56,0,1,29,26,0,1,55,56,0,20,36,56,0,9,47,56,0
Mandalerlat,0,28,10,12,8,18,37,1,0,35,3,0,28,10,0,0,38,38,0,21,17,38,0,5,33,38,0
Debipur Gurguria,0,9,2,2,5,4,11,0,0,11,0,0,9,2,0,0,11,11,0,9,2,11,0,11,0,11,0
Baikuntapur,0,51,13,5,12,47,55,9,0,60,4,0,51,13,0,3,61,64,0,53,11,64,0,10,54,64,0
Purba Gurguria,0,10,0,0,3,7,10,0,0,10,0,0,10,0,0,0,10,10,0,3,7,10,0,10,0,10,0
Kailashnagar,0,9,15,0,0,24,24,0,0,24,0,0,9,15,0,0,24,24,0,6,18,24,0,12,12,24,0
Dakshin Durgapur,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Purba Shyamnagar,0,4,14,0,0,18,18,0,0,18,0,0,4,14,0,0,18,18,0,1,17,18,0,3,15,18,0
