village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kautala,0,30,9,39,0,0,31,6,2,7,32,23,13,3,0,0,39,39,,25,14,14,25,28,11,28,11,33,6
Khari,0,103,81,185,0,0,161,20,4,40,145,65,66,53,0,35,150,157,,174,11,48,137,181,4,61,124,185,0
Dakshin Jaykrishnapur,0,99,38,137,0,0,121,14,1,40,97,68,50,18,2,9,126,118,,128,8,44,92,136,1,47,90,136,1
Baribhanga Abad,0,32,12,44,0,0,38,6,0,13,31,24,14,6,1,0,43,41,,41,3,11,33,43,1,15,29,43,1
Gilarchat,0,112,57,169,0,0,138,31,0,42,127,83,55,31,0,9,160,154,,161,8,76,93,169,0,52,117,169,0
Radhakantapur Abad,0,127,54,181,0,0,169,12,0,30,151,93,63,25,4,0,177,178,,105,76,42,139,129,52,97,84,139,42
Baradanagar,0,2,1,3,0,0,3,0,0,0,3,2,1,0,0,0,3,3,,1,2,1,2,3,0,0,3,3,0
Raydighi Abad,0,84,24,108,0,0,101,7,0,36,72,63,33,12,1,1,106,102,,100,8,20,88,107,1,40,68,108,0
Kankandighi,0,33,18,51,0,0,46,5,0,14,37,29,13,9,0,14,37,38,,49,2,16,35,47,4,23,28,51,0
Pashchim Jatardeul,0,9,10,19,0,0,19,0,0,1,18,8,5,6,0,3,16,16,,19,0,8,11,19,0,3,16,19,0
Nagendrapur,0,18,29,47,0,0,40,7,0,8,39,14,18,15,0,0,46,47,,46,1,10,37,47,0,15,32,47,0
Kumarapara,0,16,9,25,0,0,7,18,0,1,24,8,12,5,0,21,4,7,,25,0,16,9,25,0,3,22,25,0
Narendrapur,0,0,2,2,0,0,2,0,0,0,2,0,2,0,0,0,2,2,,2,0,1,1,2,0,0,2,2,0
