village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Pirrabaid Dholar Bandh,0,2,0,0,0,2,1,0,1,2,0,2,0,0,0,0,2,2,0,2,0,2,0,2,0,2,0
Saltora,0,3,0,0,2,1,1,2,0,3,0,3,0,0,0,2,1,3,0,3,0,3,0,3,0,3,0
Shalroha,0,26,0,1,7,18,18,6,2,26,0,21,5,0,0,2,24,26,0,26,0,26,0,26,0,26,0
Bamnishala,0,12,0,0,2,10,11,1,0,12,0,11,1,0,0,0,12,12,0,12,0,12,0,12,0,12,0
Raghunath Chak,0,23,5,0,13,15,2,14,12,28,0,12,12,4,0,23,5,28,0,28,0,28,0,28,0,28,0
Patdoha,0,17,6,1,10,12,5,13,5,23,0,8,9,6,0,18,5,23,0,23,0,23,0,23,0,23,0
Pabra,0,46,4,1,29,20,26,21,3,50,0,36,10,4,0,45,5,50,0,50,0,50,0,50,0,50,0
Netkamla,0,35,2,0,2,35,0,21,16,37,0,16,21,0,0,34,2,37,0,37,0,37,0,37,0,37,0
Rautara,0,15,0,0,1,14,3,8,4,15,0,11,4,0,0,1,14,15,0,15,0,15,0,15,0,15,0
Bagjata,0,28,0,4,4,20,5,12,11,26,2,25,3,0,0,1,27,28,0,28,0,28,0,28,0,28,0
Sat Deuli,0,3,1,0,2,2,0,1,3,4,0,3,0,1,0,0,4,4,0,4,0,4,0,4,0,4,0
Barasal,0,24,1,5,12,8,5,18,2,25,0,15,9,1,0,7,18,25,0,25,0,25,0,25,0,25,0
Ilam Bazar,0,30,6,1,24,11,8,23,5,36,0,20,11,5,0,10,26,36,0,36,0,36,0,36,0,36,0
Kamalhir,0,2,1,0,3,0,0,3,0,3,0,1,1,1,0,0,3,3,0,3,0,3,0,3,0,3,0
Madhabpur,0,28,0,0,10,18,2,15,11,27,1,21,7,0,0,24,4,28,0,28,0,28,0,28,0,28,0
Tilabaid,0,24,0,0,23,1,12,11,1,24,0,19,5,0,0,24,0,24,0,23,1,24,0,24,0,24,0
Kujkuria,1,48,1,14,30,6,0,40,10,4,46,25,24,1,0,10,40,49,1,50,0,50,0,50,0,41,9
Kalakundi,0,13,1,0,14,0,6,6,2,14,0,9,4,1,0,14,0,14,0,14,0,14,0,14,0,14,0
Bhaluka,0,6,1,0,7,0,5,2,0,7,0,3,3,1,0,7,0,7,0,7,0,7,0,7,0,7,0
Pabayan,0,32,2,0,34,0,20,11,3,34,0,25,7,2,0,34,0,34,0,34,0,34,0,34,0,34,0
Majit,0,5,0,0,5,0,1,4,0,5,0,3,2,0,0,5,0,5,0,5,0,5,0,5,0,5,0
Ranipur,0,15,0,0,15,0,7,7,1,15,0,13,2,0,0,15,0,15,0,15,0,15,0,15,0,15,0
Jhanka,0,8,0,0,7,1,6,1,1,8,0,4,4,0,0,8,0,8,0,7,1,8,0,8,0,8,0
Baghadabar,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
Bhadaspur Khas,0,2,0,0,2,0,1,1,0,2,0,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
Gogra,0,29,1,0,29,1,16,12,2,30,0,22,7,1,0,30,0,30,0,29,1,30,0,30,0,30,0
Bhangucha,0,35,2,0,35,2,20,15,2,37,0,25,10,2,0,37,0,37,0,35,2,37,0,37,0,37,0
Chandipur,0,1,1,0,2,0,2,0,0,2,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0
Kendana,0,8,0,0,8,0,3,5,0,8,0,8,0,0,0,8,0,8,0,7,1,8,0,8,0,8,0
Harakbad,0,4,0,0,4,0,4,0,0,4,0,3,1,0,0,4,0,4,0,4,0,4,0,4,0,4,0
Niamatpur,0,49,1,0,48,2,28,20,2,50,0,37,12,1,0,50,0,50,0,48,2,50,0,50,0,50,0
Tiluri,0,20,1,0,20,1,14,6,1,21,0,13,7,1,0,21,0,21,0,20,1,21,0,21,0,21,0
Bhadaspur,0,19,0,0,19,0,11,6,2,19,0,16,3,0,0,19,0,19,0,19,0,19,0,19,0,19,0
Nabagram,0,2,0,0,2,0,2,0,0,2,0,1,1,0,0,2,0,2,0,2,0,2,0,2,0,2,0
Udaypur,0,4,0,0,4,0,2,2,0,4,0,3,1,0,0,4,0,4,0,4,0,4,0,4,0,4,0
Shyampur,0,33,1,0,34,0,21,12,1,34,0,27,6,1,0,34,0,34,0,34,0,34,0,34,0,34,0
Binodpur,0,29,1,0,29,1,15,13,2,30,0,20,9,1,0,30,0,30,0,29,1,30,0,30,0,30,0
Dahuka,0,9,1,0,9,1,7,2,1,10,0,4,5,1,0,10,0,10,0,10,0,10,0,10,0,10,0
Singhir,0,15,0,0,15,0,6,8,1,15,0,12,3,0,0,15,0,15,0,15,0,15,0,15,0,15,0
Jadabpur,0,37,1,0,37,1,22,13,3,38,0,26,11,1,0,38,0,38,0,37,1,38,0,38,0,38,0
Adhuri,0,14,1,0,14,1,9,5,1,15,0,8,6,1,0,15,0,15,0,14,1,15,0,15,0,15,0
Ledapalash,0,22,1,0,22,1,12,9,2,23,0,15,7,1,0,23,0,23,0,22,1,23,0,23,0,23,0
Bishjor,0,28,0,0,26,2,15,12,1,28,0,21,7,0,0,28,0,28,0,26,2,28,0,28,0,28,0
