village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chandratiya,0,10,10,20,0,0,0,16,4,16,4,3,6,10,0,0,19,0,,20,0,19,1,20,0,7,13,7,13
Tilan,0,6,15,20,1,0,0,13,8,16,5,0,6,15,0,0,21,0,,21,0,16,5,21,0,7,14,9,12
Jatapur,1,8,11,19,0,1,1,12,7,14,6,4,5,11,0,1,19,0,,20,0,17,3,20,0,6,14,7,13
Jalalpur,0,8,11,19,0,0,1,10,8,14,6,2,6,11,0,1,18,0,,20,0,16,4,20,0,4,16,7,13
Keshabpur,0,11,9,20,0,0,1,14,5,19,1,1,9,10,0,1,19,0,,20,0,19,1,20,0,6,14,7,13
Garura,0,13,12,0,24,1,17,8,0,24,1,0,15,10,0,24,1,0,,25,0,20,5,25,0,0,25,16,9
Chainagar,0,26,15,1,36,4,11,30,0,39,2,0,26,15,0,27,14,0,,41,0,16,24,41,0,8,33,32,9
Simuldanga,0,7,19,0,19,7,3,23,0,25,1,0,8,18,0,26,0,0,,26,0,9,17,26,0,2,24,17,9
Manikpara,0,17,8,2,23,0,18,7,0,25,0,0,17,8,0,25,0,0,,25,0,19,6,25,0,2,23,16,9
Bahin Paharpur,0,13,28,0,38,3,14,26,1,37,4,0,15,26,0,38,3,0,,41,0,19,22,41,0,5,36,32,9
Maldua,0,13,23,1,28,7,13,22,1,35,1,0,18,18,0,34,2,0,,36,0,19,17,36,0,5,31,20,16
Mahakaldanga,0,3,17,0,14,6,0,17,3,19,1,0,3,17,0,17,3,0,,20,0,7,13,20,0,7,13,14,6
Mohishgaon,0,1,19,0,14,6,0,13,7,20,0,0,1,19,0,14,6,0,,20,0,4,16,20,0,6,14,12,8
Sekhpura,0,4,22,0,20,6,0,22,4,23,3,0,5,21,0,23,3,0,,26,0,6,20,26,0,3,23,17,9
Molani,0,3,7,0,6,4,0,7,3,8,2,0,1,9,0,8,2,0,,10,0,3,7,10,0,0,10,9,1
Kismat Maldua,0,0,10,0,2,8,0,10,0,10,0,0,0,10,0,9,1,0,,10,0,3,7,10,0,2,8,5,5
Asmanhat,1,38,22,0,56,5,3,58,0,58,3,2,36,23,0,31,30,0,,61,0,10,51,61,0,16,45,49,12
Bharatpur,0,33,18,1,43,7,4,47,0,47,4,3,30,18,0,28,23,0,,51,0,12,39,51,0,8,43,40,11
Birgram,0,3,16,0,14,5,1,13,5,19,0,0,4,15,0,16,3,0,,19,0,1,18,19,0,3,16,13,6
Bamra,0,4,15,0,11,8,4,14,1,18,1,0,5,14,0,19,0,0,,19,0,3,16,19,0,3,16,17,2
Raghugaon,0,9,7,1,12,3,2,14,0,12,4,0,9,7,0,8,8,0,,16,0,15,1,16,0,4,12,10,6
Joyrambati,0,3,1,0,4,0,0,4,0,4,0,0,3,1,0,2,2,0,,4,0,4,0,4,0,2,2,3,1
Madhabpur,0,3,3,0,6,0,1,5,0,6,0,0,3,3,0,4,2,0,,6,0,5,1,6,0,2,4,3,3
Kalua,0,12,1,0,11,2,1,12,0,13,0,0,12,1,0,6,7,0,,13,0,10,3,13,0,4,9,10,3
Karaidangi,0,11,6,0,14,3,1,16,0,16,1,0,14,3,0,7,10,0,,17,0,14,3,17,0,8,9,9,8
Bolkundi,0,7,7,1,11,2,2,12,0,14,0,0,7,7,0,3,11,0,,14,0,13,1,14,0,5,9,8,6
Rosanpur,0,2,4,0,5,1,3,3,0,5,1,0,2,4,0,2,4,0,,6,0,6,0,6,0,2,4,4,2
Dhantair,0,2,2,0,3,1,0,4,0,4,0,0,2,2,0,1,3,0,,4,0,4,0,4,0,1,3,3,1
Sunair,0,1,1,0,0,2,0,2,0,2,0,0,1,1,0,2,0,0,,2,0,2,0,2,0,2,0,2,0
Kachan,0,2,0,0,2,0,0,2,0,2,0,0,2,0,0,0,2,0,,2,0,2,0,2,0,1,1,1,1
Kastarai,0,6,1,0,7,0,0,7,0,7,0,0,6,1,0,2,5,0,,7,0,7,0,7,0,3,4,3,4
Sitalpur,0,1,4,0,4,1,0,5,0,4,1,0,1,4,0,0,5,0,,5,0,5,0,5,0,0,5,5,0
Atkara,0,6,2,0,8,0,0,8,0,6,2,0,4,4,0,5,3,0,,8,0,2,6,8,0,0,8,7,1
Bishnupur,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Baharail,0,9,8,1,15,1,0,17,0,15,2,0,9,8,0,8,9,0,,17,0,2,15,17,0,2,15,14,3
Arazi Kasimpur,0,4,3,0,7,0,0,7,0,7,0,0,4,3,0,4,3,0,,7,0,1,6,7,0,1,6,6,1
Binagram,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,0,1,1,0,0,1,0,1
Baribari,0,2,0,0,1,1,0,2,0,2,0,0,2,0,0,1,1,0,,2,0,0,2,2,0,0,2,1,1
Atrai,0,1,3,0,4,0,0,4,0,3,1,0,1,3,0,3,1,0,,4,0,0,4,4,0,1,3,4,0
Bajitpur,0,3,1,0,3,1,0,4,0,3,1,0,3,1,0,2,2,0,,4,0,1,3,4,0,0,4,1,3
Bamair,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Bhogram,0,3,6,1,8,0,0,9,0,9,0,0,3,6,0,6,3,0,,9,0,1,8,9,0,2,7,8,1
Basudebpur,0,4,2,0,6,0,0,6,0,5,1,0,4,2,0,2,4,0,,6,0,1,5,6,0,2,4,6,0
Darimanpur,0,5,2,0,7,0,0,7,0,7,0,1,4,2,0,4,3,0,,7,0,0,7,7,0,2,5,4,3
Arazi Bahala,0,4,6,0,9,1,0,10,0,9,1,0,4,6,0,6,4,0,,10,0,0,10,10,0,1,9,10,0
Dharmapur,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,0,1,1,0,0,1,1,0
