village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chandpur,3,16,3,20,2,0,17,5,0,20,2,10,9,3,1,6,15,0,,22,0,21,1,22,0,10,12,22,0
Talbona,0,22,3,24,1,0,16,6,3,25,0,19,3,3,0,3,22,1,,25,0,15,10,25,0,3,22,25,0
Paschim Keshabpur,0,16,5,20,1,0,19,2,0,19,2,9,7,5,0,1,20,0,,21,0,20,1,21,0,9,12,21,0
Serpur,0,44,17,60,1,0,36,23,2,48,13,12,32,17,0,20,41,1,,61,0,45,16,61,0,23,38,61,0
Chenchua,0,18,13,31,0,0,24,6,1,26,5,5,13,13,0,17,14,1,,31,0,23,8,31,0,14,17,31,0
Chinagari,1,5,2,7,1,0,7,1,0,8,0,4,2,2,0,0,8,0,,8,0,8,0,8,0,2,6,8,0
Dhamaitikar,0,11,4,13,2,0,6,9,0,9,6,7,4,4,0,6,9,0,,15,0,13,2,15,0,5,10,15,0
Durga Prasad,0,3,0,2,1,0,2,1,0,3,0,3,0,0,0,0,3,0,,3,0,3,0,3,0,1,2,3,0
Dakshin Mogalpur,1,24,1,26,0,0,21,5,0,22,4,13,12,1,0,3,23,1,,26,0,23,3,26,0,9,17,26,0
Sarampara,0,16,3,18,1,0,15,4,0,16,3,9,7,3,0,6,13,0,,19,0,17,2,19,0,11,8,19,0
Mitrapur,1,10,1,12,0,0,8,2,2,11,1,8,3,1,0,1,11,0,,12,0,9,3,12,0,3,9,12,0
Kabilpur,0,11,0,11,0,0,8,3,0,9,2,3,8,0,0,1,10,0,,11,0,11,0,11,0,6,5,11,0
Deulpara,0,9,1,10,0,0,8,2,0,7,3,3,6,1,0,1,9,0,,10,0,10,0,10,0,3,7,10,0
Balighari,0,22,4,26,0,0,23,3,0,24,2,14,8,4,0,4,22,2,,26,0,26,0,26,0,14,12,26,0
Muidipur,0,19,27,46,0,0,36,10,0,33,13,3,16,27,0,2,44,0,,46,0,33,13,46,0,22,24,46,0
Kanikar,1,6,1,7,1,0,6,2,0,7,1,5,2,1,0,2,6,0,,8,0,8,0,8,0,3,5,8,0
Bhandarhati,0,22,8,29,1,0,25,5,0,29,1,11,11,8,0,1,29,1,,30,0,28,2,30,0,10,20,30,0
Birpur,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Ghoshla,0,9,3,12,0,0,4,8,0,10,2,2,7,3,0,0,12,0,,12,0,12,0,12,0,3,9,12,0
Belgachhia,0,3,1,4,0,0,2,2,0,3,1,1,2,1,0,0,4,0,,4,0,2,2,4,0,1,3,4,0
Balagari,0,10,4,14,0,0,7,7,0,11,3,3,7,4,0,0,14,0,,14,0,14,0,14,0,9,5,14,0
Faridpur,0,17,5,21,1,0,18,4,0,16,6,4,13,5,0,1,21,0,,22,0,21,1,22,0,6,16,22,0
Kansaripur,0,8,3,11,0,0,8,3,0,7,4,0,8,3,0,0,11,0,,11,0,11,0,11,0,8,3,11,0
Baidyapur,0,2,0,2,0,0,2,0,0,1,1,1,1,0,0,0,2,0,,2,0,2,0,2,0,1,1,2,0
Satidaha,0,8,6,12,2,0,14,0,0,11,3,2,6,6,0,2,12,0,,14,0,14,0,14,0,5,9,14,0
Purbba Gopinathpur,0,11,4,13,2,0,13,2,0,12,3,2,9,4,0,1,14,0,,15,0,15,0,15,0,7,8,15,0
Saturia,0,16,4,20,0,0,15,5,0,17,3,2,14,4,0,3,17,0,,20,0,20,0,20,0,6,14,20,0
Paikpara,0,9,5,13,1,0,8,6,0,10,4,2,7,5,0,10,4,1,,14,0,11,3,14,0,5,9,14,0
Gopikantapur,1,34,15,50,0,0,26,20,4,37,13,4,31,15,0,10,40,2,,50,0,38,12,50,0,18,32,50,0
Dumro,0,8,3,10,1,0,9,2,0,8,3,1,7,3,0,0,11,0,,11,0,10,1,11,0,3,8,11,0
Barul,0,32,6,37,1,0,18,13,7,24,14,7,25,6,0,12,26,1,,38,0,25,13,38,0,15,23,38,0
Telekona,0,8,7,15,0,0,14,1,0,10,5,2,6,7,0,2,13,2,,15,0,14,1,15,0,4,11,15,0
Masuria,0,9,3,12,0,0,11,1,0,9,3,4,5,3,0,1,11,0,,12,0,11,1,12,0,5,7,12,0
Kathalgaria,1,10,4,14,1,0,12,3,0,8,7,3,8,4,0,0,15,0,,15,0,15,0,15,0,6,9,15,0
Chitla,0,6,3,9,0,0,5,4,0,6,3,0,6,3,0,7,2,0,,9,0,5,4,9,0,5,4,9,0
Purba Kalikapur,0,1,3,4,0,0,0,4,0,4,0,0,1,3,0,1,3,0,,4,0,2,2,4,0,3,1,4,0
Gotpur,0,1,3,4,0,0,1,3,0,3,1,0,1,3,0,2,2,0,,4,0,2,2,4,0,4,0,4,0
Nalthoba,0,10,12,22,0,0,7,14,1,17,5,0,11,11,0,11,11,3,,22,0,19,3,22,0,17,5,22,0
Bishnupur,0,3,2,5,0,0,0,5,0,3,2,0,3,2,0,2,3,0,,5,0,5,0,5,0,4,1,5,0
Gopinagar,0,4,12,16,0,0,5,11,0,12,4,0,4,12,0,9,7,0,,16,0,12,4,16,0,11,5,16,0
