village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Khana Muri,18,5,0,22,1,0,5,18,0,23,0,21,2,0,0,23,0,0,,23,0,17,6,23,0,0,23,23,0
Shital Pura,10,5,0,15,0,0,10,5,0,15,0,11,4,0,0,14,1,0,,15,0,14,1,15,0,2,13,15,0
Dalki Sol,3,3,0,5,1,0,3,3,0,6,0,4,2,0,0,5,1,0,,6,0,5,1,6,0,1,5,6,0
Nimai Nagar,1,1,0,2,0,0,0,2,0,2,0,2,0,0,0,1,1,0,,2,0,1,1,2,0,0,2,2,0
Ray Bera,5,3,0,8,0,0,4,4,0,8,0,7,1,0,0,8,0,0,,8,0,7,1,8,0,3,5,8,0
Kadokota,2,1,0,3,0,0,0,3,0,3,0,2,1,0,0,2,1,0,,3,0,3,0,3,0,0,3,3,0
Kamala Tola,2,4,1,6,1,0,4,3,0,7,0,4,2,1,0,6,1,0,,7,0,6,1,7,0,0,7,7,0
Nayagram,6,6,0,11,1,0,7,5,0,12,0,10,2,0,0,10,2,0,,12,0,11,1,12,0,2,10,11,1
Kurchi Bani,15,15,1,28,3,0,20,11,0,30,1,26,4,1,0,21,10,0,,31,0,28,3,31,0,4,27,31,0
Pacha Khali,6,3,0,9,0,0,6,3,0,9,0,6,3,0,0,8,1,0,,9,0,5,4,9,0,2,7,9,0
Tuphria,7,1,0,8,0,0,4,4,0,8,0,7,1,0,0,6,2,0,,8,0,8,0,8,0,0,8,8,0
Asur Hata,5,11,1,17,0,0,7,10,0,17,0,7,9,1,0,14,3,0,,17,0,15,2,17,0,3,14,17,0
Katash,2,0,0,2,0,0,1,1,0,2,0,2,0,0,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Kadokata,5,4,1,9,1,0,4,5,1,10,0,6,3,1,0,9,1,0,,10,0,10,0,10,0,0,10,10,0
Bela Guri,1,7,0,8,0,0,5,3,0,8,0,5,3,0,0,5,3,0,,8,0,7,1,8,0,0,8,8,0
Jangal Khas,10,0,0,10,0,0,3,7,0,10,0,10,0,0,0,4,6,0,,10,0,9,1,10,0,0,10,10,0
Kamala Pur,4,2,1,7,0,0,6,1,0,7,0,5,1,1,0,6,1,0,,7,0,7,0,7,0,2,5,7,0
Radha Para,13,11,2,23,3,0,12,12,2,26,0,20,4,2,0,21,5,0,,26,0,26,0,26,0,5,21,25,1
Murga Pahari,0,3,0,2,1,0,1,2,0,3,0,3,0,0,0,1,2,0,,3,0,3,0,3,0,2,1,3,0
Nekra Sol,4,6,0,9,1,0,7,3,0,10,0,6,4,0,0,4,6,0,,10,0,8,2,10,0,2,8,10,0
Bhurur Bani,5,4,2,11,0,0,4,6,1,11,0,7,2,2,0,10,1,0,,11,0,10,1,11,0,0,11,11,0
Kanda Ghasha,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Rokhani Chhota,3,5,0,7,1,0,3,5,0,8,0,6,2,0,0,4,4,0,,8,0,8,0,8,0,0,8,8,0
Joy Ghuntha,4,9,1,14,0,0,5,9,0,14,0,9,4,1,0,9,5,0,,14,0,14,0,14,0,3,11,14,0
Babui Danga,3,8,2,12,1,0,7,6,0,13,0,8,3,2,0,9,4,0,,13,0,11,2,13,0,1,12,13,0
Dahi,2,2,0,4,0,0,4,0,0,4,0,4,0,0,0,4,0,0,,4,0,4,0,4,0,0,4,4,0
Dhan Sulia,2,3,0,4,1,0,3,2,0,5,0,4,1,0,0,5,0,0,,5,0,3,2,5,0,0,5,5,0
Amla Kora,0,4,0,4,0,0,3,1,0,4,0,1,3,0,0,2,2,0,,4,0,3,1,4,0,0,4,4,0
Garduara,5,5,0,10,0,0,4,6,0,9,1,7,3,0,0,10,0,0,,10,0,8,2,10,0,1,9,10,0
Tilia,1,7,2,9,1,0,6,4,0,10,0,3,5,2,0,10,0,0,,10,0,10,0,10,0,1,9,10,0
Dulki,3,11,1,14,1,0,6,8,1,15,0,8,5,2,0,15,0,0,,15,0,14,1,15,0,3,12,15,0
Tilajurya,1,8,2,11,0,0,5,6,0,11,0,5,3,3,0,11,0,0,,11,0,11,0,11,0,1,10,11,0
Gulpha,3,7,1,11,0,0,5,4,2,10,1,6,4,1,0,11,0,0,,11,0,9,2,11,0,2,9,11,0
Dudhia Sol,2,8,0,10,0,0,6,4,0,10,0,6,4,0,0,10,0,0,,10,0,10,0,10,0,0,10,10,0
Bali Chaunria,4,8,0,11,1,0,3,9,0,11,1,9,3,0,0,12,0,0,,12,0,10,2,12,0,1,11,12,0
Baramchati,3,10,0,12,1,0,6,7,0,13,0,7,6,0,0,13,0,0,,13,0,13,0,13,0,1,12,13,0
Sahasra Linga,4,5,1,9,1,0,2,8,0,10,0,6,3,1,0,10,0,0,,10,0,9,1,10,0,3,7,10,0
Kusum Kuti,2,6,4,10,2,0,3,8,1,11,1,6,2,4,0,12,0,0,,12,0,12,0,12,0,3,9,12,0
Bena Chuni,3,6,3,11,1,0,6,5,1,12,0,7,2,3,0,12,0,0,,12,0,12,0,12,0,1,11,12,0
Kuldiha,9,1,0,9,1,0,5,5,0,10,0,9,1,0,0,10,0,0,,10,0,9,1,10,0,0,10,10,0
Pathra Sol,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Tulsi Bani,6,2,0,8,0,0,3,5,0,8,0,7,1,0,0,8,0,0,,8,0,7,1,8,0,0,8,8,0
Hati Top,6,3,1,10,0,0,2,8,0,10,0,8,1,1,0,10,0,0,,10,0,9,1,10,0,1,9,10,0
Sri Ram Pur,3,3,1,6,1,0,3,2,2,7,0,4,2,1,0,7,0,0,,7,0,7,0,7,0,0,7,7,0
Tikra Para,4,3,2,9,0,0,1,6,2,9,0,5,3,1,0,9,0,0,,9,0,9,0,9,0,0,9,9,0
Parashia,6,5,1,12,0,0,3,6,3,12,0,10,1,1,0,12,0,0,,12,0,11,1,12,0,1,11,12,0
Banisol,7,4,0,11,0,0,3,7,1,11,0,9,2,0,0,11,0,0,,11,0,11,0,11,0,0,11,11,0
Ram Chandra Pur,2,4,0,5,1,0,0,6,0,6,0,3,3,0,0,6,0,0,,6,0,6,0,6,0,2,4,6,0
Garkhelar,3,4,1,7,1,0,2,4,2,8,0,5,2,1,0,8,0,0,,8,0,8,0,8,0,1,7,8,0
Tentulia,5,3,0,7,1,0,3,5,0,8,0,6,2,0,0,8,0,0,,8,0,8,0,8,0,1,7,8,0
Astia,2,2,2,6,0,0,1,3,2,6,0,4,1,1,0,6,0,0,,6,0,6,0,6,0,1,5,6,0
