village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Jagajjibanpur,0,7,25,25,6,2,0,0,33,12,21,12,14,7,0,20,13,32,1,32,1,33,0,1,32,28,4
Kiol,0,9,60,64,4,0,0,0,68,8,59,14,34,21,0,31,38,69,0,57,12,69,0,0,69,61,8
Aihodanga,0,1,24,20,5,0,0,0,25,5,20,2,17,6,0,15,10,25,0,25,0,25,0,0,24,19,6
Bhairabpur,0,2,27,18,9,2,1,0,28,7,22,4,16,8,0,16,13,28,1,28,1,29,0,1,28,26,3
Pathar Dighali,0,5,41,36,7,3,0,0,44,15,30,11,17,18,0,19,27,45,1,46,0,46,0,3,43,42,4
Kadipur,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Lonsa,0,4,38,32,10,0,0,0,42,10,32,6,24,12,0,20,22,40,2,41,0,41,0,1,41,40,2
Paschim Basudebpur,0,0,6,4,1,1,0,0,6,2,4,1,2,3,0,5,1,6,0,6,0,6,0,0,6,5,1
Khanpur,0,1,30,25,5,1,0,0,31,0,30,1,15,15,0,2,29,31,0,25,6,31,0,0,31,31,0
Tulshidanga,0,2,15,13,4,0,0,0,17,0,16,6,7,3,0,6,11,17,0,17,0,16,0,0,17,16,1
Barail,0,1,1,2,0,0,0,0,2,0,2,1,0,1,0,1,1,2,0,2,0,2,0,0,2,2,0
Hialapur,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Begunbari,0,12,49,50,11,1,0,0,62,2,60,19,29,14,0,15,46,62,0,60,2,62,0,0,62,62,0
Muraripur,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
Mirzzapur,0,0,7,7,0,0,0,0,7,0,7,0,5,2,0,4,3,7,0,7,0,7,0,0,7,7,0
Bankail Bishnupur,0,0,3,1,2,0,0,0,3,0,3,0,2,1,0,3,0,3,0,3,0,3,0,0,3,3,0
Dharenda,0,7,6,12,1,0,0,0,13,2,11,10,3,0,0,4,9,13,0,13,0,13,0,0,13,13,0
Hiyatpur,0,18,4,22,0,0,0,0,22,1,21,21,0,1,0,12,10,22,0,22,0,22,0,0,22,22,0
Jamalpur,0,4,5,8,0,0,0,0,9,2,7,5,2,2,0,3,6,9,0,8,1,9,0,0,9,8,1
Narsingbati,0,4,3,7,0,0,0,0,7,0,7,7,0,0,0,1,6,6,1,7,0,7,0,0,7,7,0
Charaigola,0,2,3,4,1,0,0,0,5,1,4,2,3,0,0,2,3,5,0,5,0,5,0,1,4,5,0
Rangamati,0,5,22,27,0,0,0,0,27,1,26,9,11,6,0,4,23,27,0,20,7,27,0,1,26,27,0
Dhumpur,0,0,4,4,0,0,0,0,4,0,4,0,3,1,0,2,2,4,0,4,0,4,0,0,4,4,0
Jahanabad,0,4,33,32,4,1,0,0,37,5,32,5,13,19,0,9,28,35,1,28,9,37,0,0,37,34,3
Bijail,0,1,13,14,0,0,0,0,14,0,14,1,6,7,0,7,7,14,0,12,2,14,0,0,14,14,0
Baidyapur,0,1,29,24,3,3,0,0,30,0,30,3,13,14,0,6,24,29,1,27,3,30,0,0,30,30,0
Baijpur,0,1,13,12,2,0,0,0,14,1,13,1,6,7,0,5,9,13,1,14,0,14,0,0,14,14,0
Oltara,0,0,6,5,0,1,0,0,6,3,3,0,5,1,0,1,5,6,0,6,0,6,0,0,6,5,1
Habibpur,0,0,2,2,0,0,0,0,2,0,2,0,2,0,0,0,2,2,0,2,0,2,0,0,2,2,0
Pakuria,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
Nakail,0,0,5,3,2,0,0,0,5,0,5,1,1,3,0,2,3,5,0,5,0,5,0,0,5,4,1
Sadapur,0,2,13,9,5,1,0,0,15,3,12,2,5,8,0,6,9,15,0,15,0,15,0,1,14,15,0
Fakira Kandar,0,0,2,2,0,0,0,0,2,0,2,0,0,2,0,1,1,2,0,2,0,2,0,0,2,2,0
Betpukuria,0,0,5,5,0,0,0,0,5,0,5,2,0,3,0,1,4,5,0,5,0,5,0,0,5,5,0
Amarpur,0,0,2,1,0,1,0,0,2,0,2,0,0,2,0,1,1,2,0,2,0,2,0,0,2,1,1
Laibari,0,0,4,3,1,0,0,0,4,1,3,0,1,3,0,1,3,4,0,4,0,4,0,0,4,2,2
Nimnail,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Jatarpur,0,0,34,33,1,0,0,0,34,0,34,0,16,18,0,3,31,34,0,27,7,34,0,0,34,34,0
Mastapara,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
Bulbul Chandi,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Jotalam,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Paralia,0,2,16,18,0,0,0,0,18,0,18,4,5,9,0,10,8,18,0,14,4,18,0,0,18,18,0
Banchhair,0,0,16,8,8,0,0,0,16,6,10,0,10,6,0,0,16,16,0,16,0,16,0,0,16,16,0
Mangalpura,0,1,35,27,9,0,0,0,36,3,33,2,12,22,0,2,34,36,0,35,1,36,0,0,36,36,0
Lota Bhanga,0,11,21,29,3,0,0,0,32,11,21,24,8,0,0,0,32,32,0,32,0,32,0,1,31,32,0
Nirail,0,6,31,34,3,0,0,0,37,7,30,16,16,5,0,4,33,37,0,36,1,37,0,1,36,37,0
Phulbhanga,0,0,31,10,11,10,0,0,31,0,31,0,5,26,0,0,31,31,0,31,0,31,0,0,31,30,1
Pathar Amarpur,0,1,2,1,1,1,0,0,3,0,3,1,2,0,0,0,3,3,0,3,0,3,0,0,3,3,0
Bankail,0,1,40,40,1,0,0,0,42,0,42,3,25,13,0,22,19,42,0,32,10,42,0,0,42,42,0
Jadabnagar,0,1,8,6,0,3,0,0,9,0,9,3,1,5,0,0,9,9,0,9,0,9,0,0,9,9,0
Bishnupur,0,3,25,17,7,4,0,0,28,0,28,5,15,8,0,1,27,28,0,28,0,28,0,0,28,28,0
Khochakandar,0,2,27,22,7,0,0,0,29,1,28,4,8,17,1,2,26,29,0,25,4,29,0,0,29,29,0
Singra,0,4,19,13,9,1,0,0,23,0,23,4,8,11,0,1,22,23,0,23,0,23,0,0,23,23,0
Rajarampur,0,0,24,6,13,5,0,0,24,1,23,0,4,20,0,1,23,24,0,24,0,24,0,0,24,24,0
Tegharia,0,0,2,1,1,0,0,0,2,0,2,0,0,2,0,0,2,2,0,1,1,2,0,0,2,2,0
Dakshin Brindabanbati,0,0,9,4,5,0,0,0,9,0,9,0,6,3,0,0,9,9,0,8,1,9,0,0,9,8,1
Banpur,0,1,44,40,4,1,0,0,45,0,45,2,15,28,0,1,43,45,0,45,0,45,0,0,45,45,0
Khujipur,0,1,25,10,9,7,0,0,26,0,26,1,4,21,0,1,25,26,0,26,0,26,0,0,26,26,0
Ganramari,0,2,41,36,4,3,0,0,43,0,43,3,17,22,0,0,40,42,1,43,0,43,0,1,42,43,0
Anantapur,0,0,19,9,5,5,0,0,19,0,19,0,6,13,0,0,19,19,0,19,0,19,0,0,19,17,2
Jot Gokul,0,0,2,2,0,0,0,0,2,0,2,0,1,1,0,0,2,2,0,2,0,2,0,0,2,2,0
Dhaka Pathar,0,0,3,2,1,0,0,0,3,0,3,0,1,2,0,0,3,3,0,3,0,3,0,0,3,3,0
Srirampur,0,0,4,3,0,1,0,0,4,0,4,0,1,3,0,0,4,4,0,3,1,4,0,0,4,4,0
