village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Pathri,5,0,0,0,2,3,0,5,0,0,5,5,0,0,0,5,0,0,,5,0,4,1,5,0,1,4,5,0
Pukharia Sol,3,0,0,0,1,2,0,2,1,0,3,3,0,0,0,3,0,0,,3,0,3,0,3,0,0,3,3,0
Metal,2,0,0,0,0,2,0,1,1,0,2,2,0,0,0,2,0,0,,2,0,1,1,2,0,0,2,2,0
Bhim Sol,2,1,0,0,1,2,0,3,0,1,2,2,0,1,0,3,0,0,,3,0,1,2,3,0,1,2,3,0
Shankarbandh,2,1,0,0,1,2,0,3,0,1,2,3,0,0,0,3,0,0,,3,0,2,1,3,0,0,3,3,0
Singpur,2,0,0,0,0,2,0,1,1,0,2,2,0,0,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Bhuta Sol,2,0,0,0,1,1,0,1,1,0,2,2,0,0,0,2,0,0,,2,0,1,1,2,0,0,2,2,0
Payra Chali,5,0,0,1,2,2,0,3,2,0,5,5,0,0,0,4,1,0,,5,0,4,1,4,1,1,4,5,0
Belkuri,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Maldiha,2,0,0,0,0,2,0,2,0,0,2,2,0,0,0,2,0,0,,2,0,1,1,2,0,0,2,2,0
Bara Kalsibhanga,3,1,0,0,3,1,0,4,0,0,4,3,1,0,0,4,0,0,,4,0,2,2,4,0,0,4,4,0
Tilabani,1,2,2,3,1,1,3,1,1,1,4,2,3,0,0,4,1,0,,5,0,5,0,5,0,1,4,5,0
Murari,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Chhota Kalsibhanga,3,0,0,0,0,3,0,3,0,0,3,3,0,0,0,2,1,0,,3,0,2,1,3,0,0,3,3,0
Dhanghari,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Abra Dihi,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Karamsol,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Golak Chak,3,0,0,1,1,1,0,2,1,1,2,3,0,0,0,3,0,0,,3,0,3,0,3,0,0,3,3,0
Bhurkundisol,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Lalir Dihi,2,1,0,0,1,2,0,2,1,0,3,2,1,0,0,3,0,0,,3,0,2,1,3,0,0,3,3,0
Parurayma,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Buripala,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Srikrishnapur,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Kotalbere,3,0,0,0,1,2,0,3,0,0,3,3,0,0,0,3,0,0,,3,0,3,0,3,0,0,3,3,0
Barsa Dihi,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Baharabani,4,0,0,0,0,4,0,3,1,0,4,4,0,0,0,3,1,0,,4,0,3,1,4,0,0,4,4,0
Khudra Bankati,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Beldangri,0,2,0,2,0,0,0,2,0,0,2,0,2,0,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Dhabani,1,1,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,,2,0,1,1,2,0,0,2,2,0
Jarka,1,2,1,2,2,0,1,3,0,1,3,3,1,0,0,2,2,0,,4,0,4,0,4,0,0,4,4,0
Sapkata,2,0,0,0,1,1,0,2,0,1,1,2,0,0,0,2,0,0,,2,0,2,0,2,0,1,1,2,0
Tung Ni,3,4,1,4,3,1,4,4,0,2,6,3,4,1,0,8,0,0,,8,0,6,2,8,0,0,8,8,0
Chunpara,0,2,1,3,0,0,1,2,0,1,2,1,2,0,0,3,0,0,,3,0,3,0,3,0,1,2,3,0
Nadaria,2,6,0,4,3,1,2,6,0,2,6,3,5,0,0,8,0,0,,8,0,3,5,8,0,1,7,8,0
Garra,4,2,0,2,4,0,0,6,0,0,6,5,1,0,0,6,0,0,,6,0,3,3,6,0,0,6,6,0
Bhangaband,2,1,0,3,0,0,1,2,0,1,2,3,0,0,0,3,0,0,,3,0,2,1,3,0,0,3,3,0
Chanpa Sol,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,,1,0,0,1,1,0,0,1,1,0
Kalaimuri,5,0,0,2,3,0,3,2,0,0,5,5,0,0,0,2,3,0,,5,0,2,3,5,0,0,5,5,0
Chandabila,2,0,2,3,1,0,3,1,0,2,2,4,0,0,0,3,1,0,,4,0,3,1,4,0,1,3,4,0
Kalabere,2,0,0,1,1,0,0,2,0,1,1,2,0,0,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Raygarh,0,1,2,2,1,0,2,1,0,2,1,2,1,0,0,3,0,0,,3,0,2,1,3,0,1,2,3,0
Pathardaha,3,0,0,0,3,0,1,2,0,1,2,3,0,0,0,3,0,0,,3,0,1,2,3,0,1,2,3,0
Dharmapur,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Debagram,3,0,1,3,1,0,1,3,0,1,3,3,1,0,0,3,1,0,,4,0,3,1,4,0,1,3,4,0
Lalua,2,1,1,1,2,1,0,4,0,0,4,3,0,1,0,4,0,0,,4,0,3,1,4,0,1,3,4,0
Kharkharisol,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Kushtara,1,1,1,1,1,1,2,1,0,2,1,1,2,0,0,1,2,0,,3,0,2,1,3,0,0,3,3,0
Dhachati,1,3,0,3,1,0,0,4,0,0,4,1,3,0,0,4,0,0,,4,0,3,1,4,0,0,4,4,0
Birbhanpur,2,1,2,2,2,1,2,3,0,1,4,5,0,0,0,5,0,0,,5,0,5,0,5,0,1,4,5,0
Ananda Nagar,2,0,0,1,0,1,0,2,0,0,2,2,0,0,0,2,0,0,,2,0,2,0,2,0,1,1,2,0
Amlabati,4,2,0,3,3,0,1,5,0,0,6,5,1,0,0,6,0,0,,6,0,4,2,6,0,0,6,6,0
Chantibandh,3,0,0,0,2,1,1,1,1,0,3,3,0,0,0,3,0,0,,3,0,1,2,3,0,0,3,3,0
Srikrishnapur,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Ramraydi,5,0,0,0,1,4,2,2,1,0,5,5,0,0,0,5,0,0,,5,0,3,2,5,0,1,4,5,0
Sarasbedia,2,0,0,0,1,1,1,1,0,0,2,2,0,0,0,2,0,0,,2,0,1,1,2,0,0,2,2,0
Barju,1,1,0,0,0,2,1,1,0,0,2,2,0,0,0,0,2,0,,2,0,1,1,2,0,0,2,2,0
Bhalukmara Sol,1,4,0,0,2,3,1,3,1,0,5,2,3,0,0,5,0,0,,5,0,2,3,5,0,0,5,5,0
Kashijora,4,1,0,0,1,4,2,3,0,1,4,4,1,0,0,5,0,0,,5,0,1,4,5,0,0,5,5,0
Kuchakala,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Ashna Shuli,1,4,0,0,2,3,3,2,0,0,5,2,3,0,0,5,0,0,,5,0,2,3,5,0,0,5,5,0
Chandan Kath,3,1,0,0,0,4,1,3,0,1,3,3,1,0,0,4,0,0,,4,0,1,3,4,0,1,3,4,0
Deul Kunda,1,3,0,0,3,1,1,2,1,1,3,2,2,0,0,4,0,0,,4,0,2,2,4,0,1,3,4,0
Parasia,4,5,0,7,2,0,1,6,2,0,9,6,2,1,0,8,1,0,,9,0,5,4,9,0,1,8,9,0
Banshkopna,2,3,0,0,3,2,2,2,1,1,4,3,2,0,0,5,0,0,,5,0,1,4,5,0,0,5,5,0
Pirrakuli,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Dubrajpur,2,6,0,0,4,4,5,3,0,0,8,3,5,0,0,8,0,0,,8,0,3,5,8,0,0,8,8,0
Kharka Suli,3,1,0,0,1,3,1,3,0,1,3,3,0,1,0,4,0,0,,4,0,1,3,4,0,1,3,4,0
Bhaudi,0,2,0,1,1,0,1,1,0,0,2,1,1,0,0,2,0,0,,2,0,2,0,2,0,1,1,2,0
Sadanandapur,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Janakpur,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Arabari,0,2,0,0,0,2,0,1,1,0,2,1,1,0,0,2,0,0,,2,0,1,1,2,0,0,2,2,0
Baradiha,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Jamdargar,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Bara Bhursa,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Kachusol,1,1,0,1,1,0,0,2,0,1,1,1,1,0,0,2,0,0,,2,0,1,1,2,0,0,2,2,0
Hiradihi,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,0,1,1,0,1,0,1,0
Chhota Bhursa,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,1,0,1,0
Jorakusmi,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Ghagrasol,0,1,3,3,0,1,2,2,0,3,1,2,2,0,0,4,0,0,,4,0,3,1,4,0,1,3,4,0
Narasinghapur,0,2,0,0,2,0,0,2,0,0,2,0,2,0,0,2,0,0,,2,0,0,2,2,0,0,2,2,0
Ladhapara,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Raghunathpur,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Dhanghari Chota,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,,1,0,0,1,1,0,0,1,1,0
Pairag,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Masru,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Asurkhuli,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Benucha,2,4,0,1,4,1,2,4,0,0,6,3,3,0,0,5,1,0,,6,0,3,3,6,0,0,6,6,0
Baragada,1,2,0,0,2,1,1,2,0,0,3,3,0,0,0,3,0,0,,3,0,3,0,3,0,0,3,3,0
Deuli,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Pathar Chati,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,,1,0,0,1,1,0,0,1,1,0
Parulia,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Rameswarpur,0,0,2,2,0,0,2,0,0,2,0,2,0,0,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Shyamchak,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Panison,0,0,11,10,1,0,5,6,0,11,0,4,6,1,0,11,0,0,,11,0,7,4,11,0,4,7,11,0
Abhaya,0,0,4,4,0,0,2,2,0,4,0,3,1,0,0,4,0,0,,4,0,3,1,5,0,1,3,5,0
Ranja,0,0,5,4,1,0,2,3,0,4,1,4,1,0,0,5,0,0,,5,0,4,1,5,0,1,4,5,0
Khayerdanga,0,0,4,3,1,0,2,2,0,4,0,3,1,0,0,4,0,0,,4,0,4,0,4,0,0,4,4,0
Nere,0,0,2,1,1,0,1,1,0,2,0,1,1,0,0,2,0,0,,2,0,2,0,2,0,1,1,2,0
Jamgeria,0,0,2,1,1,0,1,1,0,2,0,0,2,0,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Mashina,0,0,2,1,1,0,1,1,0,2,0,2,0,0,0,2,0,0,,2,0,1,1,2,0,0,2,2,0
Jagulara,0,0,2,1,1,0,1,1,0,2,0,2,0,0,0,2,0,0,,2,0,2,0,2,0,1,1,2,0
Kadamdiha,0,0,6,0,5,1,0,6,0,5,1,3,2,1,0,5,1,0,,6,0,5,1,6,0,2,4,6,0
Mathurapur,0,0,3,3,0,0,3,0,0,3,0,3,0,0,0,3,0,0,,3,0,3,0,3,0,0,3,3,0
Jambani,0,0,3,2,1,0,2,1,0,2,1,1,2,0,0,3,0,0,,3,0,3,0,3,0,1,2,3,0
Dubrusol,0,0,2,2,0,0,1,1,0,2,0,2,0,0,0,2,0,0,,2,0,1,1,2,0,1,1,2,0
Hirasol,0,0,2,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Hatimara,0,0,2,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,,2,0,2,0,2,0,1,1,2,0
Belia Sol,0,0,33,2,27,4,2,28,3,28,5,7,20,6,0,32,1,0,,33,0,32,1,33,0,9,24,33,0
Banshkona,0,0,2,2,0,0,2,0,0,2,0,1,1,0,0,2,0,0,,2,0,2,0,2,0,2,0,2,0
Babuidanga,0,0,3,2,1,0,2,1,0,3,1,3,0,0,0,3,0,0,,4,0,3,1,4,0,1,3,4,0
Andharmara,0,0,4,3,1,0,3,1,0,4,0,4,0,0,0,4,0,0,,4,0,4,0,4,0,2,2,4,0
Bhangadalia,0,0,2,2,0,0,1,1,0,2,0,1,1,0,0,1,0,0,,2,0,2,0,2,0,0,2,2,0
Kumirkata,0,0,2,2,0,0,1,1,0,2,0,2,0,0,0,2,0,0,,2,0,0,2,2,0,0,2,2,0
Sabli,0,0,2,2,0,0,1,1,0,2,0,1,1,0,0,2,0,0,,2,0,1,1,2,0,1,1,2,0
Pirrakuli,0,1,19,4,12,4,1,18,1,16,4,11,6,3,0,19,1,0,,20,1,18,2,21,0,6,14,21,0
Garanata,0,0,3,3,0,0,2,1,0,3,0,3,0,0,0,3,0,0,,3,0,3,0,3,0,1,2,3,0
Dhanghari,0,0,86,4,60,22,3,51,32,71,15,16,39,31,0,76,10,0,,86,0,73,13,86,0,43,43,86,0
Sirsi,0,0,3,2,1,0,2,1,0,3,0,3,0,0,0,3,0,0,,3,0,3,0,3,0,0,3,3,0
Kayma,0,0,5,4,1,0,4,1,0,3,2,4,1,0,0,5,0,0,,5,0,5,0,5,0,1,4,5,0
Patharnala,0,0,2,0,2,0,1,1,0,2,0,2,0,0,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Dhengbahara,0,0,2,2,0,0,2,0,0,2,0,1,1,0,0,2,0,0,,2,0,1,1,2,0,1,1,2,0
Bhimpur,0,0,5,4,1,0,3,2,0,5,0,3,2,0,0,4,0,0,,5,0,5,0,5,0,0,5,5,0
Patajharia,0,0,3,2,1,0,2,1,0,3,0,3,0,0,0,3,0,0,,3,0,3,0,3,0,2,1,3,0
Memul,0,0,5,5,0,0,4,1,0,5,0,5,0,0,0,5,0,0,,5,0,4,1,5,0,1,4,5,0
Lalgere,0,0,3,3,0,0,1,2,0,3,0,1,2,0,0,3,0,0,,3,0,3,0,3,0,0,3,3,0
Khandibandh,0,0,2,2,0,0,2,0,0,2,0,2,0,0,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Ashnabani,0,0,2,2,0,0,2,0,0,2,0,1,1,0,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Chhotakeundi,0,0,2,2,0,0,0,2,0,2,0,0,2,0,0,2,0,0,,2,0,2,0,2,0,1,1,2,0
Machhbinda,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Jorakushmi,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Kuldiha,0,0,3,3,0,0,0,3,0,3,0,3,0,0,0,3,0,0,,3,0,3,0,3,0,0,3,3,0
Khudimari,0,0,3,3,0,0,2,1,0,3,0,2,1,0,0,3,0,0,,3,0,3,0,3,0,0,3,3,0
Banshiroysol,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Nimtala,0,0,20,3,12,5,2,18,0,18,2,7,4,9,0,18,1,1,,20,0,18,2,20,0,5,15,20,0
Chillapara,0,0,3,2,1,0,2,1,0,3,0,2,1,0,0,3,0,0,,3,0,3,0,3,0,1,2,3,0
Bayla,0,0,4,4,0,0,1,3,0,4,0,4,0,0,0,4,0,0,,4,0,3,1,4,0,2,2,4,0
Lakshmanpur,0,0,2,2,0,0,1,1,0,2,0,1,1,0,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Bhaluksol,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Mahasol,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Patharpara,0,0,2,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,,2,0,2,0,2,0,1,1,2,0
Kunjapur,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Chachgari,0,0,3,2,0,1,1,2,0,3,0,1,2,0,0,3,0,0,,3,0,3,0,3,0,1,2,3,0
Jamdoba,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Bagpi Chula,0,0,3,3,0,0,3,0,0,2,1,2,1,0,0,3,0,0,,3,0,3,0,3,0,3,0,3,0
Benagere,0,0,3,2,1,0,2,1,0,3,0,1,2,0,0,3,0,0,,3,0,3,0,3,0,0,3,3,0
Barasijua,0,0,2,2,0,0,2,0,0,2,0,1,1,0,0,2,0,0,,2,0,0,2,2,0,0,2,2,0
Minapara,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Duli,0,0,3,3,0,0,1,2,0,3,0,2,1,0,0,3,0,0,,3,0,2,1,3,0,0,3,3,0
Gangadaspur,0,0,10,1,9,0,0,7,3,9,1,2,6,2,0,9,1,0,,10,0,10,0,10,0,4,6,10,0
Jaypur,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
