village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Sahajadpur (CT),0,45,24,68,1,0,1,61,7,42,27,2,38,29,0,1,68,0,,66,3,40,29,69,0,0,69,68,1
Donalia (CT),0,15,34,49,0,0,3,42,4,43,6,1,22,26,0,1,47,0,,48,1,22,27,49,0,0,49,47,2
Elaspur,0,14,11,25,0,0,0,25,0,20,5,1,11,13,0,0,25,0,,25,0,16,9,25,0,1,24,25,0
Kasia Danga,0,10,39,49,0,0,0,46,3,40,9,0,22,27,0,0,49,0,,49,0,24,25,48,1,0,49,49,0
Giria (CT),0,52,64,114,1,1,1,106,9,95,21,4,60,52,0,0,115,0,,95,21,50,66,114,2,0,116,114,2
Osmanpur (CT),0,17,29,46,0,0,0,45,1,36,10,1,13,32,0,0,46,0,,43,3,15,31,46,0,0,46,45,1
Jhamra,0,15,5,20,0,0,0,20,0,11,9,0,14,6,0,0,20,0,,20,0,6,14,20,0,0,20,18,2
Bahara,0,41,1,42,0,0,0,42,0,31,11,0,27,15,0,0,42,0,,37,5,17,25,38,4,0,42,42,0
Bara Jumla (CT),0,7,17,24,0,0,0,23,1,13,11,1,13,10,0,0,24,0,,24,0,15,9,24,0,0,24,24,0
Rampur,0,23,27,50,0,0,0,47,3,31,19,3,27,20,0,0,50,0,,48,2,28,22,49,1,0,50,50,0
Dakshin Sekhalipur,0,7,18,25,0,0,0,25,0,16,9,0,14,11,0,0,25,0,,24,1,7,18,25,0,0,25,25,0
Dighir Pahar,0,34,0,34,0,0,0,32,2,18,16,0,26,8,0,0,34,0,,25,9,13,21,31,3,0,34,34,0
Krishna Sali (CT),0,21,18,39,0,0,0,37,2,37,2,0,17,22,0,0,39,0,,31,8,16,23,39,0,0,39,39,0
Putia,0,4,1,5,0,0,0,5,0,5,0,0,3,2,0,0,5,0,,5,0,1,4,5,0,0,5,5,0
Teghari (CT),1,68,1,70,0,0,0,66,4,54,16,4,51,15,0,0,70,0,,58,12,27,43,68,2,0,70,69,1
Kharkati,1,24,0,25,0,0,0,23,2,16,9,4,18,3,0,0,25,0,,22,3,9,16,21,4,0,25,25,0
Durgapur,0,4,4,8,0,0,0,8,0,7,1,0,6,2,0,0,8,0,,7,1,1,7,8,0,0,8,8,0
Jot Kamal (CT),0,12,49,58,3,0,4,55,2,51,10,0,30,30,0,0,59,0,,58,3,25,36,61,0,0,61,60,1
Khodarampur (CT),0,5,19,24,0,0,0,24,0,19,5,0,13,11,1,1,22,0,,24,0,3,21,24,0,0,24,24,0
Bara Simul,0,8,12,18,2,0,1,17,2,20,0,0,10,10,0,0,18,0,,17,3,11,9,20,0,0,20,20,0
Jayrampur (P),0,11,3,14,0,0,0,14,0,14,0,1,9,4,0,0,13,1,,12,2,5,9,14,0,0,14,14,0
Hudrapur,0,0,25,23,2,0,0,25,0,15,10,0,6,19,0,0,24,0,,24,1,8,17,25,0,0,25,25,0
Pananagar (P),0,0,25,25,0,0,0,25,0,7,18,0,14,11,0,0,25,0,,25,0,12,13,25,0,0,25,24,1
Mukundapur,0,3,40,41,2,0,0,43,0,16,27,0,19,24,0,0,43,0,,43,0,8,34,43,0,1,42,43,0
Mithipur (CT),0,2,49,44,7,0,0,51,0,27,24,1,13,37,0,0,51,0,,51,0,29,22,51,0,0,51,51,0
Bahura,0,1,34,34,1,0,0,35,0,25,10,0,9,25,0,0,33,0,,34,1,15,20,35,0,0,35,35,0
Piarapur,0,4,22,25,1,0,2,24,0,18,8,0,15,11,0,0,26,0,,26,0,11,15,26,0,0,26,26,0
Jot Sundar,0,3,18,21,0,0,6,15,0,12,9,2,10,9,0,0,20,1,,21,0,3,18,21,0,0,21,21,0
Dayarampur,0,3,16,17,2,0,4,15,0,14,5,0,7,12,1,1,16,0,,19,0,6,13,19,0,0,19,19,0
Asraf Nagar,0,0,12,11,1,0,2,10,0,8,4,0,5,7,0,0,12,0,,12,0,3,9,12,0,0,12,12,0
Lakshmi Jola,0,1,13,13,1,0,2,12,0,10,4,0,5,9,0,0,14,0,,14,0,4,10,14,0,0,14,14,0
Kul Gachhi,0,0,9,9,0,0,3,6,0,5,4,0,7,2,0,0,9,0,,9,0,3,6,9,0,1,8,9,0
Bangabari,0,0,20,16,4,0,5,15,0,14,6,0,12,8,1,0,17,0,,20,0,6,14,20,0,0,20,20,0
Char Sekandara,0,1,18,18,1,0,5,14,0,10,9,0,13,6,0,0,18,0,,19,0,5,14,19,0,0,19,19,0
Babupur,0,0,14,11,3,0,2,12,0,11,3,0,8,5,0,0,12,0,,14,0,3,11,14,0,0,14,14,0
Sekandara,0,0,27,27,0,0,4,23,0,19,8,0,16,11,0,0,25,0,,27,0,9,18,27,0,0,27,27,0
Lal Khandiar,0,0,47,40,7,0,5,41,1,37,10,0,33,14,0,4,40,2,,47,0,11,36,47,0,0,47,47,0
Mahammadpur,0,0,20,20,0,0,1,17,2,17,3,0,13,7,0,0,20,0,,18,1,2,18,19,0,1,19,19,0
