village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Manahara,0,2,34,1,29,6,2,27,7,28,8,1,9,26,0,0,36,0,,36,0,24,12,36,0,4,32,36,0
Banskatia,0,6,37,11,21,11,15,15,13,16,27,4,22,17,0,0,43,0,,43,0,17,26,43,0,9,34,43,0
Dhanguri,0,0,20,1,17,2,1,18,1,20,0,0,6,14,0,0,20,0,,20,0,17,3,20,0,1,19,20,0
Sidhabari,0,0,31,3,27,1,0,30,1,31,0,0,7,24,0,0,31,0,,31,0,27,4,31,0,0,31,31,0
Bathanbari,0,0,56,9,46,1,3,49,4,53,3,0,20,36,0,0,56,0,,56,0,47,9,56,0,5,51,56,0
Bolkunda,0,3,86,6,74,9,4,0,85,7,82,0,5,84,0,0,89,0,,89,0,8,81,89,0,33,56,89,0
Parbbatpur,0,3,10,13,0,0,11,1,1,13,0,0,12,1,0,0,13,0,,13,0,13,0,13,0,12,1,13,0
Dharaspur,0,1,14,15,0,0,11,1,3,15,0,0,13,2,0,0,15,0,,15,0,15,0,15,0,14,1,15,0
Kallya,0,4,15,19,0,0,9,5,5,19,0,0,18,1,0,0,19,0,,19,0,19,0,19,0,19,0,19,0
Seakulberia,0,1,3,4,0,0,3,0,1,4,0,0,3,1,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
Majhladi,0,8,17,24,1,0,23,1,1,24,1,1,23,1,0,0,25,0,,25,0,24,1,25,0,24,1,25,0
Kalipathar,0,7,30,37,0,0,32,5,0,37,0,0,37,0,0,0,37,0,,37,0,37,0,37,0,37,0,37,0
Brindabani,0,16,42,58,0,0,52,6,0,58,0,0,55,3,0,0,58,0,,58,0,58,0,58,0,58,0,58,0
