village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Sirarai,0,0,14,0,11,3,0,0,14,2,12,0,0,14,0,4,10,14,0,6,8,14,0,0,14,14,0
Garibbati,0,0,17,0,17,0,0,0,17,7,10,0,0,17,0,7,10,17,0,8,9,17,0,0,17,17,0
Mankar,0,0,46,5,39,2,0,0,46,6,40,0,0,46,0,36,10,46,0,27,19,46,0,0,46,46,0
Sandipur,0,0,28,0,20,8,0,0,28,20,8,0,0,28,0,22,6,28,0,25,3,28,0,5,23,28,0
Kasba,0,0,9,0,8,1,0,0,9,2,7,0,0,9,0,9,0,9,0,7,2,9,0,0,9,9,0
Maro,0,0,36,7,28,1,0,1,35,3,33,0,1,35,0,30,6,36,0,18,18,36,0,0,36,36,0
Shaldanga,0,0,10,0,9,1,0,0,10,3,7,0,0,10,0,5,5,10,0,3,7,10,0,0,10,10,0
Bharatpur,0,0,16,0,13,3,0,0,16,5,11,1,0,15,0,8,8,16,0,9,7,16,0,0,16,16,0
Bikrampur,0,0,5,0,4,1,0,0,5,0,5,0,0,5,0,3,2,5,0,4,1,5,0,0,5,5,0
Simasimi,0,0,10,0,9,1,0,0,10,2,8,0,0,10,1,3,6,10,0,5,5,10,0,0,10,10,0
Ghagra,0,0,20,0,14,6,0,0,20,11,9,0,0,20,0,19,1,20,0,15,5,20,0,1,19,20,0
Kalyanpur,0,0,22,0,15,7,0,1,21,15,7,0,0,22,0,18,4,22,0,18,4,22,0,5,17,22,0
Bagabanpur,0,0,16,0,13,3,0,0,16,13,3,0,0,16,0,10,6,16,0,12,4,16,0,1,15,16,0
Borachatra,0,0,20,1,11,8,0,0,20,10,10,0,0,20,0,20,0,20,0,15,5,20,0,1,19,20,0
Maugram,0,0,10,0,9,1,0,0,10,2,8,0,0,10,0,10,0,10,0,7,3,10,0,0,10,10,0
Krishnarampur,0,0,19,0,13,6,0,0,19,12,7,0,0,19,0,18,1,19,0,17,2,19,0,0,19,19,0
Chak Tentul,0,0,31,0,28,3,0,0,31,8,23,1,0,30,0,11,20,31,0,12,19,31,0,0,31,31,0
Randiha,0,0,34,8,23,3,0,1,33,5,29,0,0,34,0,32,2,34,0,19,15,34,0,0,34,34,0
Dharmapura,0,0,33,5,23,5,0,4,29,13,20,0,4,29,0,33,0,33,0,27,6,33,0,2,31,33,0
Durgapur,0,0,8,0,7,1,0,0,8,1,7,0,0,8,0,2,6,8,0,3,5,8,0,0,8,8,0
Amarpur,0,0,12,0,12,0,0,0,12,6,6,0,0,12,0,8,4,12,0,7,5,12,0,0,12,12,0
Kashpur,0,0,9,0,7,2,0,0,9,2,7,0,0,9,0,4,5,9,0,5,4,9,0,0,9,9,0
Haora,0,0,22,0,20,2,0,0,22,8,14,0,0,22,0,17,5,22,0,10,12,21,0,0,22,22,0
Sukdal (CT),0,0,34,5,28,1,0,1,33,12,22,0,0,34,0,29,5,34,0,21,13,34,0,1,33,34,0
Raipur (CT),0,0,23,0,18,5,0,0,23,13,10,0,0,23,0,20,3,23,0,18,5,23,0,0,23,23,0
Paraj,0,0,3,0,2,1,0,0,3,2,1,0,0,3,0,2,1,3,0,1,2,3,0,0,3,3,0
Simnari,0,0,19,0,15,4,0,0,19,17,2,0,0,19,0,17,2,19,0,18,1,19,0,3,16,19,0
Jagulpara,0,0,6,0,5,1,0,0,6,4,2,0,0,6,0,5,1,6,0,6,0,6,0,1,5,6,0
Sodepur,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
Kendua Tikuri,0,0,3,0,2,1,0,0,3,2,1,0,1,2,0,2,1,3,0,3,0,3,0,0,3,3,0
Mallikpara,0,0,9,0,7,2,0,0,9,3,6,0,0,9,0,7,2,9,0,7,2,9,0,0,9,9,0
Narayanpur,0,0,2,0,2,0,0,0,2,1,1,0,0,2,0,2,0,2,0,2,0,2,0,0,2,2,0
Khanpara,0,0,4,0,4,0,0,0,4,4,0,0,0,4,0,4,0,4,0,4,0,4,0,0,4,4,0
Rakona,0,0,8,0,6,2,0,0,8,8,0,0,0,8,0,7,1,8,0,8,0,8,0,2,6,8,0
Nurkona,0,0,8,0,6,2,0,0,8,8,0,0,1,7,0,8,0,8,0,8,0,8,0,2,6,8,0
Sundalpur,0,1,20,0,15,6,0,0,21,21,0,0,0,21,0,20,1,21,0,20,1,21,0,8,13,21,0
Khanjuli,0,0,8,0,6,2,0,0,8,8,0,0,1,7,0,8,0,8,0,8,0,8,0,1,7,8,0
Chak Khandajuli,0,0,9,0,8,1,0,0,9,9,0,0,0,9,0,9,0,9,0,9,0,9,0,1,8,9,0
Kondaipur,0,0,5,0,3,2,0,0,5,5,0,0,0,5,0,5,0,5,0,5,0,5,0,4,1,5,0
Mahulara,0,0,6,4,2,0,0,0,6,0,6,0,0,6,0,6,0,6,0,4,2,6,0,0,6,6,0
Bansujapur,0,0,10,2,8,0,0,0,10,0,10,0,0,10,0,9,1,10,0,4,6,10,0,0,10,10,0
Uchchagram,0,0,19,4,15,0,1,7,11,0,19,0,1,18,0,17,2,19,0,12,7,19,0,1,18,19,0
Bhasapur,0,0,20,4,16,0,0,1,19,0,20,0,1,19,0,17,3,20,0,17,3,20,0,0,20,20,0
Potna,0,0,23,8,15,0,0,5,18,0,23,0,3,20,0,21,2,23,0,16,7,23,0,2,21,23,0
Purangan,0,0,26,17,8,1,0,0,26,0,26,0,3,23,0,20,6,26,0,14,12,26,0,0,26,26,0
Loa,0,0,13,6,7,0,0,2,11,0,13,1,1,11,0,13,0,13,0,11,2,13,0,0,13,13,0
Golgram,0,0,19,9,10,0,0,6,13,0,19,0,2,17,0,16,3,19,0,15,4,19,0,0,19,19,0
