village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Hariharpur,0,1,1,1,1,0,0,2,0,0,2,0,1,1,0,0,2,2,0,2,0,2,0,0,2,0,2
Laharia,0,4,2,6,0,0,2,4,0,4,2,1,3,2,0,0,6,6,0,6,0,6,0,3,3,0,6
Kendbani,0,2,0,2,0,0,1,1,0,1,1,1,1,0,0,0,2,2,0,2,0,2,0,2,0,0,2
Chandanpur,0,5,3,8,0,0,6,2,0,4,4,4,1,3,0,0,8,8,0,8,0,8,0,5,3,0,8
Raghunathpur,0,2,0,2,0,0,1,1,0,2,0,1,1,0,0,0,2,2,0,2,0,2,0,1,1,0,2
Dhangakend,0,4,2,5,1,0,4,2,0,3,3,2,2,2,0,0,6,6,0,5,1,6,0,4,2,0,6
Chak Altagora,0,4,2,6,0,0,1,5,0,1,5,0,4,2,0,0,6,6,0,6,0,6,0,3,3,0,6
Agaya,0,6,0,5,1,0,5,1,0,4,2,2,4,0,0,0,6,6,0,6,0,6,0,4,2,0,6
Sargara,0,9,0,8,1,0,3,6,0,2,7,2,7,0,0,0,9,9,0,9,0,9,0,5,4,0,9
Kanchannagar,0,4,0,4,0,0,3,1,0,1,3,2,2,0,0,0,4,4,0,4,0,4,0,2,2,0,4
Kanara,0,11,3,10,4,0,4,10,0,10,4,2,9,3,0,0,14,14,0,14,0,14,0,12,2,0,14
Patkua,0,14,5,16,3,0,13,6,0,12,7,2,12,5,0,0,19,19,0,19,0,19,0,16,3,0,19
Kalapathar Alias Runujhunu,0,5,3,5,3,0,2,6,0,5,3,1,4,3,0,0,8,8,0,8,0,8,0,5,3,0,8
Bhagaband,0,9,3,10,2,0,9,3,0,9,3,2,7,3,0,0,12,11,1,12,0,12,0,5,7,1,11
Poradi,0,3,1,3,1,0,2,2,0,1,3,1,2,1,0,0,4,4,0,4,0,4,0,3,1,0,4
Layamara,0,3,0,3,0,0,2,1,0,2,1,1,2,0,0,0,3,3,0,3,0,3,0,3,0,0,3
Panruda,1,6,3,7,3,0,6,4,0,5,5,3,4,3,0,0,10,10,0,10,0,10,0,7,3,0,10
Gholkund,1,7,2,9,1,0,8,2,0,6,4,3,5,2,0,0,10,10,0,10,0,10,0,9,1,0,10
Gopalpur,0,3,2,4,1,0,3,2,0,5,0,0,2,3,0,0,5,5,0,5,0,5,0,4,1,0,5
Ramkundi,0,6,1,6,1,0,5,2,0,6,1,1,5,1,0,0,7,7,0,7,0,7,0,5,2,0,7
Samakata,0,4,1,2,3,0,5,0,0,4,1,2,1,2,0,0,5,5,0,5,0,5,0,1,4,0,5
Shyampur,0,5,0,4,1,0,4,1,0,4,1,2,3,0,0,0,5,5,0,5,0,5,0,4,1,0,5
Niasa,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1
Butgora,0,10,1,9,2,0,9,2,0,8,3,2,8,1,0,0,11,11,0,11,0,11,0,7,4,0,11
Pakbirra,0,8,2,7,3,0,8,2,0,8,2,4,4,2,0,0,10,10,0,10,0,10,0,6,4,0,10
Bhatadi,0,1,2,3,0,0,2,1,0,3,0,0,1,2,0,0,3,3,0,3,0,3,0,1,2,0,3
Payaka,0,3,0,1,2,0,3,0,0,3,0,1,2,0,0,0,3,3,0,3,0,3,0,3,0,0,3
Bankanali,0,7,2,8,1,0,2,7,0,6,3,1,6,2,0,0,9,9,0,9,0,9,0,8,1,0,9
Arali,0,4,2,5,1,0,4,2,0,3,3,0,4,2,0,0,6,6,0,6,0,6,0,6,0,0,6
Simakanali,0,4,1,4,1,0,4,1,0,4,1,0,4,1,0,0,5,5,0,4,1,5,0,1,4,0,5
Raghunathpur,0,3,2,5,0,0,2,3,0,3,2,0,3,2,0,0,5,5,0,5,0,5,0,4,1,0,5
Bagda,1,7,2,8,2,0,6,4,0,6,4,3,5,2,0,0,10,10,0,10,0,10,0,6,4,0,10
Konapara,0,13,1,11,3,0,11,3,0,8,6,8,5,1,0,0,14,14,0,14,0,14,0,10,4,0,14
Narendrapur,0,7,1,8,0,0,7,1,0,5,3,2,5,1,0,0,8,8,0,8,0,8,0,5,3,0,8
Chhirudi,0,7,3,7,3,0,6,4,0,5,5,2,4,4,0,0,10,10,0,10,0,10,0,6,4,0,10
Kundhurka,0,9,1,10,0,0,5,5,0,2,8,3,7,0,0,0,10,10,0,10,0,10,0,5,5,0,10
Chandatiri,2,16,3,16,5,0,12,9,0,8,13,10,8,3,0,0,21,21,0,21,0,21,0,11,10,0,21
Joykalla,0,14,3,13,4,0,11,6,0,13,4,4,9,4,0,0,17,17,0,17,0,17,0,12,5,0,17
Arkusadanga,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1
