village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Burripalem,0,0,50,50,0,0,36,12,2,35,15,47,0,3,0,0,50,50,0,4,44,50,0,49,1,50,0
Pinapadu (R),0,0,50,50,0,0,50,0,0,39,11,45,5,0,0,0,50,49,1,48,2,50,0,38,12,50,0
TENALI (U),0,0,50,50,0,0,25,10,15,30,20,49,0,1,0,5,45,49,1,40,10,49,1,44,6,50,0
Nelapadu,0,0,50,50,0,0,23,19,8,30,20,46,4,0,0,0,50,50,0,41,9,49,0,44,6,49,1
Nandivelugu,0,0,100,100,0,0,99,1,0,82,18,100,0,0,0,2,98,22,78,97,3,98,2,100,0,99,1
Kolakaluru,0,6,143,139,9,1,89,60,0,149,0,148,0,1,0,0,149,117,32,144,5,149,0,137,12,148,1
Angalakuduru,2,0,98,99,1,0,26,72,2,99,1,100,0,0,0,0,100,49,51,83,17,100,0,100,0,95,5
Sangam Jagarlamudi,0,0,50,50,0,0,48,2,0,47,3,50,0,0,0,0,50,26,24,0,49,50,0,44,6,49,1
Gudivada,0,0,85,85,0,0,79,6,0,85,0,85,0,0,0,0,85,2,82,30,55,85,0,61,24,85,0
Katevaram,0,0,115,114,1,0,85,29,1,113,2,115,0,0,0,0,115,30,84,73,42,113,2,64,51,112,3
China Ravuru (R),0,0,50,50,0,0,50,0,0,50,0,50,0,0,0,0,50,16,34,50,0,50,0,50,0,49,1
