village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Gad Pichhawadi,0,58,94,8,111,33,71,81,0,151,1,21,45,86,0,29,123,152,0,17,135,135,17,152,0,152,0
Markatola(Fatechand),0,34,38,2,56,14,22,50,0,72,0,6,15,51,0,7,65,72,0,4,68,59,13,72,0,72,0
Domaharra,0,61,31,8,65,19,23,69,0,92,0,11,12,69,0,21,71,92,0,20,72,73,19,92,0,92,0
Albeda,0,25,8,0,24,9,11,22,0,33,0,5,11,17,0,3,30,33,0,6,27,25,8,33,0,33,0
Kanharpuri,0,17,10,2,18,7,12,15,0,27,0,1,5,21,0,6,21,27,0,3,24,26,1,27,0,27,0
Malgaon,0,80,46,3,94,29,23,103,0,126,0,21,23,82,0,21,105,126,0,13,113,108,18,126,0,126,0
Kirgapati,0,4,2,1,5,0,4,2,0,6,0,1,1,4,0,3,3,6,0,1,5,2,4,6,0,6,0
Salhebhat,0,31,25,2,45,9,14,42,0,55,1,10,9,37,0,13,43,56,0,4,52,49,7,56,0,56,0
Rode,0,6,0,0,4,2,3,3,0,6,0,0,0,6,0,1,5,6,0,2,4,5,1,6,0,6,0
Matwada(Modi),0,40,31,2,55,14,18,53,0,71,0,19,6,46,0,8,63,71,0,12,59,45,26,71,0,71,0
Mandri,0,15,17,1,24,7,6,26,0,32,0,3,5,24,0,5,27,32,0,6,26,29,3,32,0,32,0
Ghothiya,0,10,10,0,15,5,5,15,0,20,0,2,5,13,0,0,20,20,0,2,18,12,8,20,0,20,0
Marrapi,0,4,5,1,6,2,4,4,1,9,0,2,1,6,0,1,8,9,0,1,8,7,2,9,0,9,0
Gobardhan,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Komalpur,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
Kotgaon(Uper),0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Kumkakudum,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Singarbhat (OG),0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
Kulgaon,0,6,2,0,5,3,2,6,0,8,0,1,1,6,0,3,5,8,0,1,7,6,2,8,0,8,0
