village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Marakatola,0,1,48,0,41,8,0,39,10,6,43,0,2,46,0,0,48,19,30,19,30,41,8,49,0,49,0
Kewat Tola,0,0,52,0,0,52,1,50,1,17,35,0,13,39,0,0,52,26,26,20,32,26,26,52,0,36,16
Marakatola,0,0,52,0,0,52,2,48,2,3,49,4,22,26,0,0,52,26,26,0,52,24,19,51,1,36,16
Suwarbod,0,0,45,0,1,44,10,34,1,8,37,42,3,0,0,0,45,17,28,34,11,12,33,45,0,33,12
Bamhanee,0,4,17,0,0,21,21,0,0,0,21,1,10,10,0,0,21,21,0,12,8,21,0,21,0,21,0
Galle Tola,0,4,12,0,1,15,15,0,1,0,16,4,4,8,0,0,16,8,8,2,14,15,1,16,0,14,2
Madhiyandih,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
Nadekal,0,4,24,0,0,28,28,0,0,3,25,12,8,8,0,0,28,28,0,6,16,28,0,27,1,28,0
Katengatola,0,8,32,0,0,40,40,0,0,2,38,7,15,18,0,0,40,40,0,13,24,39,1,40,0,40,0
Dangarh,0,11,28,0,0,39,39,0,0,11,28,8,12,19,0,0,39,38,1,30,9,39,0,39,0,39,0
Bogatola,0,12,63,0,0,75,70,2,3,18,57,24,17,34,0,1,74,66,9,52,23,75,0,75,0,74,1
Dugatola,0,1,1,0,0,2,2,0,0,1,1,2,0,0,0,0,2,2,0,1,1,2,0,2,0,2,0
