village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Katheen (120),0,2,5,7,0,0,7,0,0,0,0,6,0,0,0,0,6,7,0,7,0,7,0,0,0,3,4
Dogri (121),0,13,42,38,16,1,46,9,0,0,0,55,0,0,0,2,53,55,0,51,4,45,10,0,0,18,37
Khaneti (45/1),0,5,14,16,3,0,18,1,0,0,0,19,0,0,0,0,19,19,0,7,12,19,0,0,0,15,4
Shelag (85),0,8,33,19,21,1,32,9,0,0,0,41,0,0,0,0,41,41,0,19,22,35,6,0,0,0,41
Bhareri (127),0,1,3,2,2,0,3,1,0,0,0,4,0,0,0,0,4,4,0,4,0,3,1,0,0,0,4
Ahar (157),0,0,5,4,1,0,5,0,0,0,0,5,0,0,0,0,5,5,0,4,1,5,0,0,0,1,4
Banahar (147),0,4,6,3,5,2,9,1,0,0,0,10,0,0,0,0,10,10,0,3,7,10,0,0,0,1,9
Bai (97),0,4,11,8,5,2,12,3,0,0,0,15,0,0,0,0,15,15,0,7,8,15,0,0,0,12,3
Koti (174),0,0,35,32,3,0,17,15,3,0,0,35,0,0,0,0,35,35,0,32,3,35,0,0,0,0,35
Shanad (96),0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
Teshan (133),0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,2,0,2,0,0,0,0,2
Kawala (123),0,2,21,21,2,0,13,10,0,0,1,23,0,0,0,0,23,23,0,22,1,21,2,0,0,0,23
Mandholi (101),0,0,25,21,4,0,10,13,2,0,0,25,0,0,0,0,25,25,0,25,0,25,0,0,0,0,25
